date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
1999-10-05,2,codepoet:2,24992,1165,130,2
1999-10-06,5,codepoet:5,1135,737,47,5
1999-10-07,1,codepoet:1,1015,1124,15,1
1999-10-08,1,codepoet:1,99,81,3,1
1999-10-09,1,codepoet:1,881,871,17,1
1999-10-12,2,codepoet:2,3095,3343,42,2
1999-10-13,7,codepoet:7,1408,2221,59,7
1999-10-14,1,codepoet:1,188,182,12,1
1999-10-16,1,codepoet:1,48,60,8,1
1999-10-17,1,codepoet:1,50,50,9,1
1999-10-18,5,codepoet:5,744,814,98,5
1999-10-19,10,codepoet:10,9759,1701,98,10
1999-10-20,5,codepoet:5,1515,648,97,5
1999-10-22,7,codepoet:7,1080,231,24,7
1999-10-23,2,codepoet:2,83,130,11,2
1999-10-25,1,codepoet:1,929,616,13,1
1999-10-26,2,codepoet:2,767,424,5,2
1999-10-27,1,codepoet:1,76,30,2,1
1999-10-28,2,codepoet:2,436,266,10,2
1999-10-29,5,codepoet:5,472,309,25,5
1999-11-01,1,codepoet:1,118,102,7,1
1999-11-02,1,codepoet:1,198,182,4,1
1999-11-03,1,codepoet:1,45,48,9,1
1999-11-04,2,codepoet:2,522,207,15,2
1999-11-05,3,codepoet:3,69,122,10,3
1999-11-06,5,codepoet:5,285,188,19,5
1999-11-07,1,codepoet:1,110,46,5,1
1999-11-08,1,codepoet:1,98,70,8,1
1999-11-09,4,codepoet:4,381,370,24,4
1999-11-10,3,codepoet:3,376,314,66,3
1999-11-11,2,codepoet:2,178,82,5,2
1999-11-12,2,codepoet:2,300,154,19,2
1999-11-13,2,codepoet:2,66,46,14,2
1999-11-15,1,codepoet:1,98,43,12,1
1999-11-16,1,codepoet:1,54,2263,15,1
1999-11-18,4,codepoet:4,8343,56,18,4
1999-11-19,4,codepoet:4,232,191,32,4
1999-11-21,1,codepoet:1,5,3,3,1
1999-11-22,3,codepoet:3,46,38,13,3
1999-11-23,1,codepoet:1,49,26,6,1
1999-11-24,1,codepoet:1,172,0,2,1
1999-11-25,2,codepoet:2,975,139,18,2
1999-11-26,2,codepoet:2,46,12,3,2
1999-11-27,2,codepoet:2,21,17,5,2
1999-11-29,3,codepoet:3,58,20,4,3
1999-12-03,2,codepoet:2,429,59,19,2
1999-12-05,2,codepoet:2,117,100,15,2
1999-12-07,2,codepoet:2,1155,91,23,2
1999-12-08,4,codepoet:4,2286,149,28,4
1999-12-09,11,codepoet:6|lbox:5,481,402,36,11
1999-12-10,13,lbox:9|codepoet:4,861,188,48,13
1999-12-11,4,codepoet:4,425,120,20,4
1999-12-12,1,codepoet:1,1056,0,1,1
1999-12-15,5,codepoet:2|lbox:3,159,22,15,5
1999-12-16,4,codepoet:3|lbox:1,800,20,22,4
