date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
2001-08-24,12,unknown:1|bbb929c8-8fbe-4397-9dbb-9b2b20218538:11,278624,10096,1526,12
2001-08-27,5,bbb929c8-8fbe-4397-9dbb-9b2b20218538:5,8131,278,330,5
2001-08-28,18,bbb929c8-8fbe-4397-9dbb-9b2b20218538:18,4313,6700,268,18
2001-08-29,9,bbb929c8-8fbe-4397-9dbb-9b2b20218538:9,1862,576,190,9
2001-08-30,9,bbb929c8-8fbe-4397-9dbb-9b2b20218538:9,3426,3621,291,9
2001-08-31,12,bbb929c8-8fbe-4397-9dbb-9b2b20218538:12,1317,387,151,12
2001-09-01,2,bbb929c8-8fbe-4397-9dbb-9b2b20218538:2,54,0,6,2
2001-09-04,23,bbb929c8-8fbe-4397-9dbb-9b2b20218538:23,2706,271,276,23
2001-09-05,19,bbb929c8-8fbe-4397-9dbb-9b2b20218538:19,2168,1288,366,19
2001-09-06,4,bbb929c8-8fbe-4397-9dbb-9b2b20218538:4,7836,1144,274,4
2001-09-07,2,bbb929c8-8fbe-4397-9dbb-9b2b20218538:2,514,112,20,2
2001-09-10,12,bbb929c8-8fbe-4397-9dbb-9b2b20218538:12,11654,1843,580,12
2001-09-19,10,bbb929c8-8fbe-4397-9dbb-9b2b20218538:10,52238,3038,183,10
2001-09-20,22,bbb929c8-8fbe-4397-9dbb-9b2b20218538:22,14066,14486,311,22
2001-09-21,12,bbb929c8-8fbe-4397-9dbb-9b2b20218538:12,7070,511,91,12
2001-09-24,17,bbb929c8-8fbe-4397-9dbb-9b2b20218538:17,2127,109,124,17
2001-09-25,6,bbb929c8-8fbe-4397-9dbb-9b2b20218538:6,4011,112,32,6
2001-09-26,11,bbb929c8-8fbe-4397-9dbb-9b2b20218538:11,651,243,49,11
2001-09-27,7,bbb929c8-8fbe-4397-9dbb-9b2b20218538:7,4490,1272,221,7
2001-09-28,14,bbb929c8-8fbe-4397-9dbb-9b2b20218538:14,8390,2619,162,14
2001-09-29,3,bbb929c8-8fbe-4397-9dbb-9b2b20218538:3,77,57,17,3
2001-10-01,11,bbb929c8-8fbe-4397-9dbb-9b2b20218538:11,14520,293,97,11
2001-10-02,9,bbb929c8-8fbe-4397-9dbb-9b2b20218538:9,3559,689,85,9
2001-10-03,11,bbb929c8-8fbe-4397-9dbb-9b2b20218538:11,460,304,26,11
2001-10-04,12,bbb929c8-8fbe-4397-9dbb-9b2b20218538:12,4997,496,95,12
