date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
1992-10-31,6,meyering:6,14235,30,57,6
1992-11-01,5,meyering:5,11417,208,75,5
1992-11-08,3,meyering:3,23690,521,56,3
1992-11-09,1,meyering:1,283,265,17,1
1992-11-12,4,meyering:4,186,161,21,4
1992-11-13,2,meyering:2,7,0,2,2
1992-11-19,1,meyering:1,245,51,14,1
1992-11-24,7,meyering:7,401,251,7,7
1992-12-02,8,meyering:8,239,214,48,8
1992-12-07,6,meyering:6,53,145,19,6
1992-12-08,6,meyering:6,35,10,6,6
1992-12-10,2,meyering:2,68,34,7,2
1992-12-13,1,meyering:1,144,86,1,1
1993-01-20,1,meyering:1,135,184,3,1
1993-01-22,1,meyering:1,2,1,1,1
1993-02-08,1,meyering:1,12,1,1,1
1993-02-18,1,meyering:1,5,1,1,1
1993-02-25,3,meyering:3,108,114,3,3
1993-02-26,1,meyering:1,16,5,1,1
1993-03-02,5,meyering:5,190,17,9,5
1993-03-06,1,meyering:1,1,1,1,1
1993-03-22,2,meyering:2,10,7,2,2
1993-03-23,2,meyering:2,229,24,2,2
1993-03-24,3,meyering:3,33,10,3,3
1993-03-26,4,meyering:4,23,3,4,4
1993-03-28,9,meyering:9,166,41,9,9
1993-03-29,1,meyering:1,71,22,10,1
1993-03-30,5,meyering:5,18,6,9,5
1993-03-31,6,meyering:6,159,64,8,6
1993-04-01,4,meyering:4,63,26,8,4
1993-04-02,6,meyering:6,356,98,21,6
1993-04-04,21,meyering:21,146,95,37,21
1993-04-05,6,meyering:6,41,1,14,6
1993-04-06,2,meyering:2,3,2,2,2
1993-04-08,1,meyering:1,1,1,1,1
1993-04-15,1,meyering:1,74,11,5,1
1993-04-19,1,meyering:1,51,12,3,1
1993-04-22,1,meyering:1,33,7,4,1
1993-04-24,1,meyering:1,16,0,1,1
1993-04-29,2,meyering:2,620,189,23,2
1993-05-01,3,meyering:3,137,37,8,3
1993-05-02,1,meyering:1,56,6,5,1
1993-05-06,2,meyering:2,32,3,3,2
1993-05-07,1,meyering:1,48,29,8,1
1993-05-13,1,meyering:1,23,3,3,1
1993-05-22,2,meyering:2,353,100,45,2
1993-05-23,3,meyering:3,802,687,5,3
1993-06-16,2,meyering:2,32,0,6,2
1993-07-24,1,meyering:1,87,28,5,1
1993-08-05,1,meyering:1,162,132,19,1
1993-08-26,1,meyering:1,93,26,9,1
1993-08-27,1,meyering:1,107,34,7,1
1993-09-08,2,meyering:2,657,192,22,2
1993-10-04,2,meyering:2,114,43,11,2
1993-10-05,2,meyering:2,282,192,24,2
1993-10-06,3,meyering:3,373,50,45,3
1993-10-07,1,meyering:1,26,2,4,1
1993-10-08,1,meyering:1,578,241,20,1
1993-10-09,4,meyering:4,129,107,21,4
1993-10-12,6,meyering:6,692,113,60,6
1993-10-13,1,meyering:1,15,6,5,1
1993-10-16,2,meyering:2,18,2,2,2
1993-10-17,4,meyering:4,868,131,28,4
1993-10-18,5,meyering:5,59,40,50,5
1993-10-19,1,meyering:1,160,196,19,1
1993-10-20,3,meyering:3,306,77,3,3
1993-10-21,4,meyering:4,351,41,36,4
