date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
1990-08-09,1,python:1,54,0,2,1
1990-09-10,1,python:1,0,0,0,1
1990-09-18,1,python:1,9,7,1,1
1990-10-07,2,python:2,19,8,2,2
1990-10-13,1,python:1,5492,0,47,1
1990-10-14,11,python:11,13701,90,90,11
1990-10-21,11,python:11,265,183,22,11
1990-10-24,3,python:3,956,4,6,3
1990-10-25,3,python:3,628,258,8,3
1990-10-26,11,python:11,602,576,16,11
1990-10-30,7,python:7,131,12,7,7
1990-10-31,6,python:6,276,46,13,6
1990-11-02,5,python:5,20,8,5,5
1990-11-05,2,python:2,1242,424,20,2
1990-11-06,1,python:1,7,13,1,1
1990-11-09,2,python:2,2,1,2,2
1990-11-18,18,python:18,3649,413,20,18
1990-12-20,11,python:11,3436,2022,85,11
1990-12-26,8,python:8,1447,36,25,8
1991-01-01,3,python:3,217,6,4,3
1991-01-02,4,python:4,27,7,4,4
1991-01-11,1,python:1,3158,0,2,1
1991-01-16,2,python:2,73,18,2,2
1991-01-18,1,python:1,16,5,1,1
1991-01-21,5,python:5,50,36,6,5
1991-01-22,3,python:3,4118,89,6,3
1991-01-23,5,python:5,520,326,10,5
1991-01-24,2,python:2,16,11,3,2
1991-01-25,5,python:5,410,436,7,5
1991-02-13,3,python:3,51,7,3,3
1991-02-19,15,python:15,3135,4659,112,15
1991-03-06,5,python:5,299,46,5,5
1991-04-03,14,python:14,554,53,14,14
1991-04-04,14,python:14,1164,903,15,14
1991-04-07,12,python:12,1320,105,30,12
1991-04-08,2,python:2,145,16,2,2
1991-04-10,1,python:1,222,0,1,1
1991-04-16,8,python:8,205,45,8,8
1991-04-21,10,python:10,146,51,17,10
1991-04-23,2,python:2,18,36,4,2
1991-05-05,15,python:15,1365,187,18,15
1991-05-14,11,python:11,566,76,18,11
1991-05-28,3,python:3,99,10,3,3
1991-06-03,7,python:7,260,32,7,7
1991-06-04,18,python:18,1759,216,38,18
1991-06-07,13,python:13,236,181,26,13
1991-06-24,5,python:5,61,39,10,5
1991-06-25,1,python:1,494,0,1,1
1991-06-27,1,python:1,326,78,1,1
1991-07-01,15,python:15,606,80,22,15
1991-07-17,1,python:1,24,15,1,1
1991-07-22,1,python:1,2,2,1,1
1991-07-27,15,python:15,909,659,16,15
1991-08-07,1,python:1,2177,0,1,1
1991-08-08,3,python:3,417,326,3,3
1991-08-16,35,python:35,3438,1754,68,35
1991-09-09,1,python:1,492,0,1,1
1991-09-10,7,python:7,148,13,7,7
1991-09-13,2,python:2,3,1,2,2
1991-09-15,5,python:5,567,12,17,5
1991-09-17,1,python:1,80,0,2,1
1991-10-20,20,python:20,786,186,20,20
1991-10-24,8,python:8,613,62,12,8
1991-10-30,1,python:1,1363,0,13,1
1991-11-04,12,python:12,424,135,12,12
