date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
2005-04-07,3,linux-foundation:3,1325,1,20,3
2005-04-08,8,linux-foundation:8,242,41,18,8
2005-04-09,14,linux-foundation:14,610,240,30,14
2005-04-10,8,linux-foundation:8,322,82,14,8
2005-04-11,15,linux-foundation:15,1481,149,27,15
2005-04-12,11,linux-foundation:5|chrisli:1|infradead:1|ucw:1|pobox:2|elte:1,267,42,21,11
2005-04-13,14,ucw:9|linux-foundation:5,507,385,31,14
2005-04-14,6,linux-foundation:1|elte:4|gnu:1,146,11,7,6
2005-04-15,13,pobox:4|infradead:1|linux-foundation:8,499,116,23,13
2005-04-16,14,pobox:9|linux-foundation:5,286,243,20,14
2005-04-17,21,pobox:5|linux-foundation:12|ucw:2|puremagic:2,739,269,28,21
2005-04-18,28,pobox:9|iabervon:5|SteelEye:2|linux-foundation:11|kroah:1,1134,598,42,28
2005-04-19,15,linux-foundation:11|superlucidity:3|ucw:1,496,51,17,15
2005-04-20,17,linux-foundation:9|SteelEye:1|systemlinux:1|pobox:6,408,175,28,17
2005-04-21,7,linux-foundation:6|ucw:1,312,228,18,7
2005-04-22,4,linux-foundation:3|samba:1,418,253,11,4
2005-04-23,15,linux-foundation:6|ucw:1|diku:1|iabervon:6|SteelEye:1,1101,117,28,15
2005-04-24,9,uci:1|linux-foundation:6|SteelEye:2,60,20,13,9
2005-04-25,11,linux-foundation:8|pobox:2|tumblerings:1,749,216,24,11
2005-04-26,12,pobox:3|linux-foundation:7|chrisli:1|ucw:1,437,381,32,12
2005-04-27,12,pobox:8|linux-foundation:2|uci:1|diku:1,230,106,13,12
2005-04-28,15,iabervon:4|linux-foundation:1|pobox:6|fluxnic:2|web:2,853,294,27,15
2005-04-29,10,web:2|linux-foundation:3|pobox:3|diku:1|intel:1,148,221,18,10
2005-04-30,18,gmx:4|linux-foundation:11|fluxnic:1|iabervon:1|pobox:1,726,380,34,18
2005-05-01,23,pobox:13|linux-foundation:9|penza-gsm:1,704,317,49,23
2005-05-02,4,linux-foundation:3|intel:1,132,25,6,4
2005-05-03,4,linux-foundation:4,61,102,4,4
2005-05-04,12,pobox:6|linux-foundation:5|altlinux:1,271,104,20,12
2005-05-05,20,linux-foundation:7|cam:2|vrfy:1|stud:1|pobox:8|dgreaves:1,1922,438,28,20
2005-05-06,21,vrfy:3|pobox:5|linux-foundation:7|fluxnic:1|web:5,674,237,43,21
2005-05-07,13,web:1|pobox:10|stud:2,331,68,23,13
2005-05-08,8,pobox:4|ucw:1|stud:1|dgreaves:2,1141,640,10,8
2005-05-09,5,samba:1|ucw:1|pobox:3,633,76,21,5
2005-05-10,9,samba:3|pobox:2|dgreaves:4,2627,1842,54,9
2005-05-11,10,ucw:7|samba:2|pobox:1,365,106,10,10
2005-05-12,5,samba:1|pobox:3|dgreaves:1,155,27,7,5
2005-05-13,6,pobox:6,789,26,19,6
2005-05-14,12,ucw:5|pobox:4|puremagic:3,687,53,24,12
2005-05-15,10,ucw:3|samba:5|pobox:2,606,182,23,10
2005-05-16,1,samba:1,63,10,1,1
2005-05-17,5,linux-foundation:3|samba:1|pobox:1,316,94,9,5
2005-05-18,18,didntduck:1|pobox:3|linux-foundation:12|fluxnic:1|samba:1,302,151,30,18
2005-05-19,13,samba:2|fluxnic:1|pobox:3|linux-foundation:4|highlab:1|stud:1|penza-gsm:1,1425,463,63,13
2005-05-20,12,linux-foundation:4|pobox:4|fluxnic:3|iabervon:1,1060,254,45,12
2005-05-21,14,samba:1|linux-foundation:5|pobox:8,1707,902,72,14
2005-05-22,15,pobox:4|linux-foundation:5|dgreaves:5|stud:1,1175,801,52,15
2005-05-23,15,linux-foundation:9|pobox:5|fluxnic:1,1323,607,37,15
2005-05-24,18,linux-foundation:10|pobox:8,958,342,29,18
2005-05-25,11,linux-foundation:6|pobox:4|yahoo:1,143,47,18,11
2005-05-26,13,linux-foundation:7|pobox:4|timesys:1|bellsouth:1,898,295,20,13
2005-05-27,15,web:1|linux-foundation:1|pobox:13,467,213,43,15
2005-05-28,5,stud:1|pobox:4,220,164,15,5
2005-05-29,5,linux-foundation:1|pobox:3|fluxnic:1,508,214,16,5
2005-05-30,13,linux-foundation:7|pobox:6,933,131,41,13
2005-05-31,8,samba:1|linux-foundation:4|pobox:2|ucw:1,696,223,16,8
2005-06-01,11,samba:1|linux-foundation:7|supplehost:1|pobox:1|kotnet:1,289,133,20,11
2005-06-02,11,linux-foundation:5|pobox:2|web:3|absolutegiganten:1,437,116,23,11
2005-06-03,12,web:2|pobox:8|iabervon:1|timesys:1,499,227,46,12
2005-06-04,4,linux-foundation:3|pobox:1,313,38,13,4
2005-06-05,25,linux-foundation:19|pobox:6,1359,356,46,25
2005-06-06,15,gmail:1|linux-foundation:7|pobox:1|iabervon:5|diku:1,1346,251,33,15
2005-06-07,8,pobox:2|gmail:1|linux-foundation:5,1215,59,16,8
2005-06-08,15,linux-foundation:11|pobox:2|ucw:2,726,380,20,15
2005-06-09,5,gmail:1|ucw:1|linux-foundation:2|pobox:1,378,34,8,5
2005-06-10,11,samba:1|pobox:6|crsr:4,595,120,14,11
2005-06-11,4,pobox:4,300,44,14,4
2005-06-12,6,linux-foundation:4|pobox:2,25,5,7,6
2005-06-13,7,linux-foundation:7,150,8,9,7
2005-06-14,6,linux-foundation:4|yahoo:1|kotnet:1,84,30,11,6
2005-06-15,1,linux-foundation:1,1,0,1,1
2005-06-16,2,samba:2,451,322,2,2
2005-06-17,8,samba:1|linux-foundation:5|kotnet:1|lumumba:1,297,45,9,8
2005-06-18,5,linux-foundation:5,116,94,6,5
2005-06-19,8,kotnet:1|linux-foundation:4|pobox:3,386,138,24,8
2005-06-20,15,gmail:8|linux-foundation:7,538,135,16,15
2005-06-21,16,samba:2|kotnet:1|fluxnic:1|linux-foundation:8|miku:1|iabervon:3,378,135,26,16
2005-06-22,13,samba:3|pobox:5|linux-foundation:4|gmail:1,2536,132,28,13
2005-06-23,8,gmail:2|linux-foundation:6,180,83,11,8
2005-06-24,2,linux-foundation:2,172,26,2,2
2005-06-25,22,samba:2|cs:1|linux-foundation:9|pobox:10,1250,187,36,22
2005-06-26,12,pobox:1|linux-foundation:9|michonline:1|cs:1,767,232,27,12
2005-06-27,21,samba:5|linux-foundation:7|kotnet:1|pobox:7|yahoo:1,949,1102,50,21
2005-06-28,23,urlichs:6|linux-foundation:9|pobox:8,1339,836,37,23
2005-06-29,18,samba:1|fluxnic:2|pobox:2|linux-foundation:13,1248,353,44,18
2005-06-30,20,gmail:5|urlichs:7|kotnet:1|linux-foundation:4|pobox:3,622,179,31,20
2005-07-02,1,linux-foundation:1,77,53,3,1
2005-07-03,23,kotnet:6|linux-foundation:16|urlichs:1,414,137,41,23
2005-07-04,16,kotnet:7|gmail:1|linux-foundation:8,651,214,25,16
2005-07-05,21,kotnet:1|urlichs:3|linux-foundation:15|pobox:2,487,128,28,21
2005-07-06,17,kotnet:1|gmail:3|linux-foundation:10|pobox:3,509,152,29,17
2005-07-07,15,gmail:8|sous-sol:1|pobox:3|linux-foundation:3,727,95,26,15
2005-07-08,18,linux-foundation:13|pobox:2|larsen:3,695,261,48,18
2005-07-09,2,linux-foundation:2,36,8,3,2
2005-07-10,9,linux-foundation:4|iabervon:2|pobox:2|larsen:1,125,49,14,9
2005-07-11,9,pobox:2|kotnet:1|sous-sol:1|linux-foundation:5,72,25,11,9
2005-07-12,7,linux-foundation:4|intel:1|kotnet:1|progeny:1,182,87,13,7
2005-07-13,17,pobox:10|linux-foundation:7,604,256,39,17
2005-07-14,24,pobox:4|linux-foundation:9|xmission:11,894,145,57,24
2005-07-15,11,linux-foundation:7|pobox:4,633,158,12,11
2005-07-16,13,samba:2|pobox:2|linux-foundation:7|xmission:2,754,582,29,13
2005-07-17,2,samba:2,47,52,2,2
2005-07-18,3,samba:2|linux-foundation:1,50,15,2,3
2005-07-19,4,linux-foundation:2|michonline:1|mind:1,33,13,5,4
2005-07-20,2,samba:2,162,61,2,2
2005-07-21,1,linux-ipv6:1,43,28,1,1
2005-07-22,15,pobox:13|michonline:2,333,103,26,15
2005-07-23,17,linux-foundation:7|pobox:8|michonline:1|linux-ipv6:1,1640,125,36,17
2005-07-24,2,pobox:2,249,25,3,2
2005-07-25,7,pobox:4|michonline:3,379,47,12,7
2005-07-26,8,pobox:4|linux-foundation:3|michonline:1,152,56,27,8
2005-07-27,9,michonline:1|pobox:2|linux-foundation:4|samba:2,465,60,14,9
2005-07-28,10,pobox:5|linux-foundation:1|gmx:4,200,107,11,10
2005-07-29,17,samba:1|pobox:5|linux-foundation:1|gnu:1|ucw:8|urlichs:1,353,197,43,17
2005-07-30,4,linux-foundation:2|pobox:2,337,41,8,4
2005-07-31,18,gmx:2|samba:1|pobox:3|iabervon:3|michonline:9,918,108,23,18
2005-08-01,8,pobox:3|gmail:1|gmx:3|linux-foundation:1,53,219,13,8
2005-08-02,11,pobox:5|fluxnic:1|iabervon:3|michonline:2,535,130,27,11
2005-08-03,7,pobox:5|altlinux:1|nomi:1,538,374,15,7
2005-08-04,8,iki:1|gmail:1|pobox:4|my-eitzenberger:2,71,70,11,8
2005-08-05,10,samba:1|pobox:4|ucw:3|gmx:2,243,130,33,10
2005-08-06,14,samba:1|pobox:10|linux-foundation:2|gnu:1,261,95,23,14
2005-08-07,89,samba:2|vrfy:77|pobox:8|linux-foundation:1|inf:1,5486,3155,87,89
2005-08-08,20,vrfy:1|samba:1|pobox:9|gmail:1|my-eitzenberger:1|altlinux:4|sous-sol:1|linux-foundation:1|gmx:1,457,133,26,20
2005-08-09,9,pobox:7|gnu:1|iki:1,75,25,17,9
2005-08-10,15,vrfy:1|pobox:8|samba:1|gmx:1|linux-foundation:1|gnu:3,213,91,22,15
2005-08-11,9,samba:1|pobox:4|urlichs:1|gnu:1|iabervon:2,177,65,14,9
2005-08-12,11,pobox:8|gmx:1|vrfy:2,322,56,18,11
2005-08-13,9,urlichs:1|pobox:2|linux-foundation:2|SteelEye:1|puremagic:1|atmark-techno:1|gmx:1,57,52,12,9
2005-08-14,3,pobox:3,345,103,17,3
2005-08-15,13,michonline:1|pobox:10|urlichs:1|lysator:1,745,44,22,13
2005-08-16,23,atmark-techno:1|gmx:1|sous-sol:1|iabervon:2|ng:2|pobox:11|draisey:1|linux-foundation:3|iki:1,548,174,34,23
2005-08-17,16,samba:1|gmx:3|dynamicro:1|gmail:2|pobox:6|ng:1|linux-foundation:2,331,27,17,16
2005-08-18,19,samba:2|gmx:3|atmark-techno:1|intel:1|pobox:10|linux-foundation:1|eecs:1,840,350,18,19
2005-08-19,12,samba:4|pobox:6|gmail:1|altlinux:1,280,70,12,12
2005-08-20,11,pobox:10|gmail:1,446,170,18,11
2005-08-21,9,atmark-techno:1|pobox:6|linux-foundation:2,631,83,10,9
2005-08-22,5,pobox:5,293,163,11,5
2005-08-23,17,pobox:8|linux-foundation:3|eecs:5|intel:1,1658,275,62,17
2005-08-24,14,pobox:13|gnu:1,367,179,25,14
2005-08-25,7,pobox:5|intel:1|gmx:1,231,79,13,7
2005-08-26,21,pobox:15|debian:5|gmail:1,632,367,45,21
2005-08-27,2,linux-foundation:1|pobox:1,206,52,6,2
2005-08-28,14,pobox:8|273k:3|gmail:2|debian:1,1004,131,15,14
2005-08-29,20,pobox:15|gmail:4|linux-foundation:1,727,233,30,20
2005-08-30,14,samba:1|pobox:11|linux-foundation:1|laptop:1,1645,685,18,14
2005-08-31,10,vrfy:4|pobox:6,108,50,10,10
2005-09-01,3,pobox:2|debian:1,154,16,5,3
2005-09-02,10,pobox:8|yahoo:1|cs:1,262,53,18,10
2005-09-03,2,vrfy:2,38,42,2,2
2005-09-04,11,vrfy:1|altlinux:1|laptop:2|pobox:6|gmail:1,224,27,10,11
2005-09-05,10,michonline:2|pobox:4|iabervon:4,708,926,16,10
2005-09-06,9,pobox:4|zytor:1|web:1|vrfy:2|studentenbude:1,127,43,16,9
2005-09-07,15,pobox:9|gmail:4|lysator:1|debian:1,1491,1154,187,15
2005-09-08,8,on-line:1|pobox:7,458,50,17,8
2005-09-09,9,pobox:6|jdl:2|xs4all:1,225,358,23,9
2005-09-10,12,kotnet:1|pobox:10|laptop:1,1121,63,25,12
2005-09-11,14,mayhq:1|laptop:5|pobox:7|inf:1,164,86,16,14
2005-09-12,17,atmark-techno:1|gondor:1|linux-foundation:3|pobox:7|gmail:5,207,69,24,17
2005-09-13,16,vrfy:2|gmail:6|pobox:7|altlinux:1,162,115,18,16
2005-09-14,11,pobox:6|linux-foundation:1|student:1|altlinux:1|iabervon:2,253,645,26,11
2005-09-15,11,pobox:7|zytor:1|linux-foundation:2|jdl:1,223,84,21,11
2005-09-16,15,inf:1|cs:1|sous-sol:1|pobox:7|urlichs:1|linux-foundation:4,106,390,27,15
2005-09-17,4,vrfy:1|pobox:3,86,7,6,4
