date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
1998-06-10,4,src:4,29406,1,79,4
1998-06-11,4,src:3|gtk:1,556,66,24,4
1998-06-12,5,nuclecu:1|src:2|icw:1|gtk:1,2027,87,50,5
1998-06-18,1,nuclecu:1,64,6,12,1
1998-06-19,2,gtk:2,464,264,22,2
1998-06-28,1,src:1,41,1,9,1
1998-06-30,1,gtk:1,184,94,10,1
1998-07-04,1,src:1,36,0,10,1
1998-07-06,1,src:1,41,1,9,1
1998-07-07,1,src:1,446,528,12,1
1998-07-09,1,src:1,58,10,12,1
1998-07-10,3,gtk:1|src:2,2420,1968,18,3
1998-07-11,1,src:1,10,10,10,1
1998-07-14,1,gtk:1,168,0,14,1
1998-07-15,1,src:1,6,2,2,1
1998-07-20,1,src:1,32,0,4,1
1998-07-21,1,5z:1,34,2,10,1
1998-07-22,1,gtk:1,617,277,13,1
1998-07-25,2,src:2,690,564,20,2
1998-07-26,1,gtk:1,48,2,10,1
1998-07-27,4,gtk:2|src:2,213,12,23,4
1998-07-31,1,gtk:1,2428,6,18,1
1998-08-03,2,src:1|gtk:1,98,12,22,2
1998-08-04,1,gtk:1,848,70,22,1
1998-08-05,3,gkt:1|5z:1|gtk:1,137,16,33,3
1998-08-06,1,src:1,1,1,1,1
1998-08-09,7,src:7,1691,48,35,7
1998-08-10,2,gtk:2,198,90,18,2
1998-08-11,1,src:1,32,6,10,1
1998-08-16,2,src:1|gtk:1,2463,661,47,2
1998-08-17,6,gtk:4|src:2,307,93,50,6
1998-08-18,2,gtk:2,712,462,28,2
1998-08-19,2,src:2,250,44,22,2
1998-08-20,1,gtk:1,28,0,2,1
1998-08-24,1,gtk:1,1377,860,29,1
1998-09-02,3,src:1|gtk:1|redhat:1,1056,652,42,3
1998-09-05,1,gtk:1,124,10,12,1
1998-09-06,3,cygnus:1|src:2,263,107,24,3
1998-09-07,2,src:1|gtk:1,535,131,34,2
1998-09-08,5,src:4|gtk:1,239,28,25,5
1998-09-09,1,src:1,44,0,9,1
1998-09-11,1,gtk:1,72,28,10,1
1998-09-15,1,redhat:1,665,447,17,1
1998-09-17,2,gtk:1|src:1,739,295,17,2
1998-09-18,4,src:2|gtk:2,615,258,46,4
1998-09-19,1,src:1,62,48,4,1
1998-09-20,2,src:1|redhat:1,283,4,23,2
1998-09-21,2,gtk:2,565,373,30,2
1998-09-22,1,gtk:1,32,0,8,1
1998-09-25,1,gtk:1,853,747,13,1
1998-09-30,1,gtk:1,1566,122,14,1
1998-10-02,1,gtk:1,228,62,12,1
1998-10-04,1,src:1,0,1,1,1
1998-10-05,1,src:1,1,1,1,1
1998-10-06,1,gtk:1,110,28,10,1
1998-10-07,1,gtk:1,350,198,12,1
1998-10-08,1,gtk:1,216,148,12,1
1998-10-10,1,src:1,1,1,1,1
1998-10-17,1,src:1,1,1,1,1
1998-10-18,1,src:1,2,1,1,1
1998-10-20,5,src:4|ira:1,606,33,39,5
1998-10-21,3,gtk:2|src:1,724,323,27,3
1998-10-25,5,src:3|gtk:2,1016,56,47,5
1998-10-27,7,iki:3|src:4,4597,325,92,7
1998-10-28,2,gtk:1|src:1,246,2,22,2
1998-10-31,1,gtk:1,122,30,12,1
1998-11-01,2,src:2,943,512,50,2
1998-11-02,1,src:1,168,220,13,1
1998-11-03,1,ira:1,436,58,12,1
1998-11-04,1,src:1,288,114,13,1
1998-11-05,1,cmu:1,135,1,13,1
1998-11-11,2,src:1|comstar:1,2330,78,29,2
1998-11-12,1,src:1,66,6,12,1
1998-11-13,2,redhat:1|src:1,412,11,18,2
1998-11-16,1,gtk:1,50,2,10,1
1998-11-17,1,src:1,303,0,8,1
1998-11-18,3,src:3,5,3,3,3
1998-11-19,2,src:2,70,1995,18,2
1998-11-20,2,src:1|gtk:1,21,3,5,2
1998-11-23,3,gtk:3,395,15,40,3
1998-11-24,2,gtk:1|redhat:1,1066,528,36,2
1998-11-25,3,gimp:1|src:2,269,76,21,3
1998-11-26,1,gtk:1,74,50,12,1
1998-11-28,1,gtk:1,42,10,10,1
1998-11-29,2,src:2,89,7,21,2
1998-11-30,1,gtk:1,132,0,12,1
1998-12-01,1,pobox:1,3010,0,14,1
1998-12-02,9,gtk:2|ira:1|redhat:1|pobox:3|src:2,5332,697,98,9
1998-12-03,1,src:1,2,0,1,1
1998-12-05,1,src:1,1,0,1,1
1998-12-08,1,src:1,46,2,10,1
1998-12-09,1,gtk:1,50,0,9,1
1998-12-10,1,src:1,49,2,9,1
1998-12-11,1,gtk:1,100,8,14,1
1998-12-13,1,gtk:1,44,0,9,1
1998-12-15,11,src:5|redhat:2|ira:3|pobox:1,4237,548,159,11
1998-12-16,10,gtk:4|src:3|ira:3,1691,1021,125,10
1998-12-17,6,gtk:4|src:1|ira:1,455,105,66,6
1998-12-18,3,gtk:1|ira:1|src:1,504,89,35,3
1998-12-19,6,gtk:3|src:1|redhat:2,638,234,61,6
1998-12-21,2,gtk:2,210,32,24,2
1998-12-22,3,gtk:1|src:2,45,8,12,3
1998-12-23,1,5z:1,52,2,10,1
1998-12-24,1,gtk:1,94,9,14,1
1998-12-26,1,src:1,81,11,10,1
1998-12-30,1,src:1,48,8,10,1
1998-12-31,2,gtk:1|src:1,88,23,14,2
1999-01-01,1,src:1,173,0,11,1
1999-01-02,5,gtk:1|src:4,820,338,60,5
1999-01-03,4,src:4,2109,576,59,4
1999-01-04,4,gtk:3|src:1,554,186,47,4
1999-01-05,3,src:3,61,8,16,3
1999-01-06,1,src:1,72,0,8,1
1999-01-07,2,ira:1|redhat:1,289,104,25,2
1999-01-09,2,src:2,399,26,28,2
1999-01-11,4,src:2|ira:2,229,442,40,4
1999-01-12,3,ira:1|src:2,99,5,21,3
