date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
1972-07-18,1,bwk:1,7,0,1,1
1974-01-20,1,bwk:1,3,7,2,1
1988-04-01,2,research!bwk:1|research:1,8,3,2,2
2008-03-02,2,golang:2,1278,9,2,2
2008-03-03,1,golang:1,33,11,1,1
2008-03-04,2,golang:2,1347,1291,2,2
2008-03-05,1,golang:1,130,101,1,1
2008-03-06,8,golang:8,432,299,8,8
2008-03-07,1,golang:1,4,4,1,1
2008-03-10,1,golang:1,32,16,1,1
2008-03-11,6,golang:6,203,121,7,6
2008-03-12,4,golang:4,246,19,6,4
2008-03-16,1,golang:1,3,2,1,1
2008-03-17,1,golang:1,8,7,1,1
2008-03-19,2,golang:2,157,4,7,2
2008-03-25,1,golang:1,157,125,1,1
2008-03-26,3,golang:3,9,9,12,3
2008-03-27,5,golang:5,637,33,6,5
2008-03-28,3,golang:3,12146,0,34,3
2008-03-29,2,golang:2,74,39,4,2
2008-03-31,2,golang:2,64,25,9,2
2008-04-01,1,golang:1,1,2,2,1
2008-04-02,2,golang:2,118,75,7,2
2008-04-03,2,golang:2,132,1,2,2
2008-04-15,1,golang:1,264,1,2,1
2008-04-17,2,golang:2,98,17,2,2
2008-04-18,1,golang:1,137,137,1,1
2008-04-27,1,golang:1,35,2,1,1
2008-04-28,1,golang:1,6,3,1,1
2008-04-29,1,golang:1,51,2,1,1
2008-05-01,6,golang:6,79,34,8,6
2008-05-06,1,golang:1,21,10,1,1
2008-05-07,2,golang:2,2,4,2,2
2008-05-08,4,golang:4,190,120,9,4
2008-05-15,3,golang:3,59,49,3,3
2008-05-27,1,golang:1,1,1,1,1
2008-06-04,7,golang:7,46962,3,87,7
2008-06-05,8,golang:8,1043,746,18,8
2008-06-06,29,golang:29,3943,889,143,29
2008-06-07,1,golang:1,170,54,5,1
2008-06-08,15,golang:15,498,405,29,15
2008-06-09,3,golang:3,244,59,7,3
2008-06-10,3,golang:3,544,212,9,3
2008-06-11,9,golang:9,547,190,32,9
2008-06-12,13,golang:13,17329,66,158,13
