date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
2014-06-06,11,bedafamily:5|google:6,47634,105,311,11
2014-06-07,14,google:13|bedafamily:1,311,266,15,14
2014-06-08,34,bedafamily:6|google:27|users:1,1773,1236,106,34
2014-06-09,11,google:5|users:5|bedafamily:1,1257,230,19,11
2014-06-10,25,bedafamily:7|users:3|google:9|eseth:1|gmail:4|spotify:1,87,78,17,25
2014-06-11,32,gmail:4|golang:2|google:22|bedafamily:3|spotify:1,576,168,46,32
2014-06-12,54,gmail:3|google:42|bedafamily:8|ctso:1,1101,610,110,54
2014-06-13,21,google:18|gmail:1|bedafamily:2,270,109,160,21
2014-06-14,9,bedafamily:4|google:3|gmail:2,18,7,4,9
2014-06-15,22,google:14|dorseys:3|gmail:5,365,554,25,22
2014-06-16,31,ryanwalters:1|bedafamily:5|google:25,28532,636,97,31
2014-06-17,32,google:29|mspin:2|bedafamily:1,354534,904,980,32
2014-06-18,31,google:29|bedafamily:1|mspin:1,1112,287,81,31
2014-06-19,34,google:27|users:2|mspin:3|bedafamily:1|freigeist:1,19948,234,168,34
2014-06-20,31,google:25|gmail:1|mspin:1|bedafamily:4,930,460,61,31
2014-06-21,9,gmail:1|google:5|mspin:3,353,120,14,9
2014-06-22,7,google:7,687,592,32,7
2014-06-23,32,google:32,1148,259,81,32
2014-06-24,42,google:38|mspin:3|gmail:1,2653,322,72,42
2014-06-25,8,mspin:2|google:5|redhat:1,2010,499,65,8
2014-06-26,26,google:22|mspin:2|gmail:2,465,337,35,26
2014-06-27,26,google:23|mspin:3,709,259,44,26
2014-06-28,11,google:10|gmail:1,540,251,26,11
2014-06-29,2,google:2,74,5,9,2
2014-06-30,34,google:32|redhat:2,957,371,68,34
2014-07-01,43,google:42|redhat:1,1136,381,56,43
2014-07-02,31,gmail:2|google:28|live:1,846,175,48,31
2014-07-03,6,google:4|freigeist:1|redhat:1,292,5,7,6
2014-07-04,1,google:1,76,1,3,1
2014-07-05,1,redhat:1,2,2,1,1
2014-07-07,9,google:9,336,136,14,9
2014-07-08,19,google:18|redhat:1,611,558,34,19
2014-07-09,17,google:15|rightscale:1|gmail:1,114,49,19,17
2014-07-10,27,yugui:5|google:20|live:2,560,175,45,27
2014-07-11,37,golang:1|google:26|labouisse:1|redhat:1|gmail:8,391,322,50,37
2014-07-12,21,google:12|gmail:2|redhat:7,283,74,20,21
2014-07-13,4,gmail:1|redhat:2|google:1,1,1,1,4
2014-07-14,20,google:17|gmail:2|redhat:1,4712,1379,120,20
2014-07-15,39,redhat:7|gmail:2|heartbeats:1|google:29,33831,1443,176,39
2014-07-16,29,yugui:7|tumblr:1|google:18|singlewire:1|redhat:2,4235,260,58,29
2014-07-17,10,google:8|redhat:1|live:1,798,73,19,10
2014-07-18,42,google:29|redhat:6|coreos:3|live:4,1190,323,96,42
2014-07-19,8,google:6|coreos:1|gmail:1,479,25,14,8
2014-07-20,22,gmail:10|google:11|redhat:1,748,556,39,22
2014-07-21,9,google:6|live:1|redhat:2,176,123,14,9
2014-07-22,23,live:2|google:17|redhat:3|gmail:1,1575,286,62,23
2014-07-23,20,google:14|gmail:1|redhat:5,1498,204,46,20
2014-07-24,21,google:20|redhat:1,68,22,11,21
2014-07-25,19,redhat:8|google:10|ishisystems:1,1855,893,49,19
2014-07-26,14,gmail:8|google:6,228,83,20,14
2014-07-27,11,gmail:4|redhat:5|google:2,454,105,15,11
2014-07-28,39,redhat:9|google:29|gmail:1,750,325,39,39
2014-07-29,35,google:19|redhat:16,1506,1123,52,35
2014-07-30,32,redhat:5|google:24|sebastian-mueller:1|souza:1|users:1,3211,1004,111,32
2014-07-31,32,gmail:2|google:19|redhat:10|polvi:1,2273,947,69,32
2014-08-01,20,google:17|redhat:2|users:1,1633,2154,28,20
2014-08-03,16,gmail:2|redhat:7|google:7,2512,863,78,16
2014-08-04,40,google:31|ishisystems:3|users:1|redhat:5,584,94,30,40
2014-08-05,37,google:32|redhat:4|seanborman:1,1599,520,79,37
2014-08-06,25,google:19|redhat:5|infosleuth:1,671,255,45,25
2014-08-07,16,redhat:6|google:10,651,88,22,16
2014-08-08,19,redhat:2|google:15|altalang:2,1410,598,32,19
2014-08-09,4,google:2|redhat:2,346,294,16,4
2014-08-10,3,google:3,275,94,14,3
2014-08-11,24,google:16|redhat:6|gmail:2,2553,1798,74,24
2014-08-12,24,google:12|redhat:3|bedafamily:1|users:1|gmail:7,2575,379592,686,24
2014-08-13,17,redhat:4|google:10|gmail:1|bedafamily:2,639,232,21,17
2014-08-14,35,google:21|redhat:9|bedafamily:5,1571,403,59,35
2014-08-15,21,google:14|redhat:4|gmail:2|bedafamily:1,1220,1280,41,21
2014-08-16,3,google:2|josephholsten:1,57,55,4,3
2014-08-17,1,google:1,4,7,1,1
2014-08-18,41,rudd-o:1|google:28|redhat:8|gmail:3|bedafamily:1,1415,336,51,41
2014-08-19,31,redhat:7|google:19|box:1|bedafamily:4,1258,428,83,31
2014-08-20,28,google:24|redhat:2|gmail:1|bedafamily:1,921,504,61,28
2014-08-21,19,redhat:5|google:13|gmail:1,810,285,47,19
2014-08-22,11,redhat:6|live:2|google:3,831,410,29,11
2014-08-23,2,redhat:1|google:1,6,1,2,2
2014-08-24,3,vmware:1|google:2,1508,760,23,3
2014-08-25,38,redhat:3|google:21|vmware:5|bedafamily:7|users:1|live:1,701,440,54,38
2014-08-26,30,google:18|redhat:6|bedafamily:5|box:1,731,351,49,30
2014-08-27,42,redhat:2|google:28|bedafamily:7|live:1|coreos:1|alwaysmovefast:1|gmail:2,1075,175,52,42
2014-08-28,37,redhat:11|google:17|bedafamily:3|coreos:2|users:1|gmail:3,1356,646,80,37
2014-08-29,24,redhat:4|bedafamily:6|google:11|users:1|gmail:2,1163,670,83,24
2014-08-31,1,google:1,183,151,35,1
2014-09-01,6,gmail:2|gl-systemhaus:1|google:3,6,3,3,6
2014-09-02,25,redhat:4|maestrodev:1|google:14|bedafamily:5|gmail:1,1018,669,146,25
2014-09-03,22,redhat:6|bedafamily:1|google:14|box:1,1166,494,50,22
2014-09-04,20,minuteware:3|users:1|google:12|bedafamily:1|redhat:3,821,92,28,20
2014-09-05,31,google:18|redhat:6|bedafamily:5|souza:1|coreos:1,2164,1282,159,31
2014-09-06,1,bedafamily:1,0,0,0,1
2014-09-07,4,google:2|gmail:2,430,359,42,4
2014-09-08,33,bedafamily:4|redhat:5|google:21|gmail:2|coreos:1,4398,836,98,33
2014-09-09,39,google:26|redhat:4|bedafamily:6|gmail:2|minuteware:1,10648,380,97,39
2014-09-10,26,vmware:1|google:18|users:1|bedafamily:2|redhat:4,1009,326,39,26
2014-09-11,33,google:24|bedafamily:1|redhat:7|users:1,2870,782,131,33
2014-09-12,19,bedafamily:2|google:9|redhat:3|gurpartap:4|gmail:1,3127,550,64,19
2014-09-14,1,gmail:1,10,4,1,1
2014-09-15,18,redhat:3|gmail:5|google:9|bedafamily:1,551,245,22,18
2014-09-16,22,gmail:1|google:17|redhat:4,642,322,83,22
2014-09-17,17,redhat:3|google:10|gmail:1|bedafamily:3,1059,240,32,17
2014-09-18,28,gmail:4|bedafamily:4|google:11|live:1|redhat:7|users:1,1288,505,70,28
2014-09-19,20,gmail:3|andrewmichaelsmith:2|google:14|redhat:1,464,189,21,20
2014-09-20,7,google:6|redhat:1,158,97,10,7
2014-09-21,3,gmail:1|google:2,778,1,7,3
2014-09-22,34,google:22|redhat:7|users:2|bedafamily:2|gmail:1,429,686,42,34
2014-09-23,29,redhat:3|google:20|users:1|bedafamily:4|gmail:1,980,580,59,29
2014-09-24,28,gmail:1|bedafamily:4|google:23,1193,599,57,28
2014-09-25,26,google:18|bedafamily:3|redhat:3|gmail:2,1563,644,91,26
2014-09-26,30,gurpartap:4|redhat:4|bedafamily:3|google:18|gmail:1,2238,459,89,30
2014-09-27,6,google:6,200,155,39,6
2014-09-28,3,Kornisteui-MacBook-Pro:1|users:1|google:1,20,6,5,3
2014-09-29,21,google:5|bedafamily:9|live:1|gmail:1|redhat:5,2873,897,76,21
2014-09-30,14,chmouel:1|google:5|bedafamily:3|redhat:3|alwaysmovefast:2,154,81,19,14
2014-10-01,28,google:16|redhat:6|bedafamily:6,2366,450,110,28
2014-10-02,50,google:34|gmail:2|redhat:11|bedafamily:1|webfilings:1|users:1,978,426,77,50
2014-10-03,31,google:17|users:5|bedafamily:2|gmail:3|box:1|redhat:3,2536,625,126,31
2014-10-04,2,gmail:1|users:1,17,0,2,2
2014-10-05,5,gmail:2|redhat:1|box:2,6515,16,58,5
2014-10-06,29,google:19|users:3|bedafamily:2|gmail:2|box:3,1119,350,81,29
2014-10-07,50,google:31|redhat:9|bedafamily:7|gmail:3,4240,861,179,50
2014-10-08,39,redhat:9|google:23|gmail:4|users:2|inodes:1,2593,1935,108,39
2014-10-09,55,google:37|bedafamily:5|gmail:3|redhat:9|users:1,4578,738,133,55
