date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
1970-01-01,1,de:1,2,1,1,1
1996-05-15,1,redhat:1,0,13,1,1
2001-09-17,2,synopsys:2,145,48,18,2
2002-04-09,12,suse:12,2272,632,39,12
2003-02-20,1,nvidia:1,56,55,1,1
2004-07-29,1,sgi:1,9,0,1,1
2004-08-19,1,physique:1,4,2,1,1
2004-09-16,1,suse:1,108,93,2,1
2004-11-11,3,cantab:3,29,20,7,3
2004-11-17,1,cantab:1,2,1,2,1
2004-11-18,3,cantab:3,104,72,8,3
2004-11-19,1,cantab:1,16,11,2,1
2004-12-04,1,networkno:1,5,8,1,1
2004-12-08,1,networkno:1,9,9,2,1
2004-12-10,1,networkno:1,17,18,1,1
2004-12-23,1,networkno:1,4,10,1,1
2004-12-28,2,linux-mips:2,31,0,2,2
2005-01-06,1,us:1,18,5,1,1
2005-01-12,2,cantab:2,177,69,4,2
2005-01-13,3,cantab:3,29,25,4,3
2005-01-14,1,linux-mips:1,1,1,1,1
2005-01-17,4,inso:1|redhat:3,144,14,5,4
2005-01-18,2,simtec:1|linutronix:1,10,7,2,2
2005-01-19,1,mvista:1,2,2,1,1
2005-01-20,1,debian:1,16,0,1,1
2005-01-22,1,mvista:1,172,0,1,1
2005-01-23,2,rpsys:1|redhat:1,9,9,2,2
2005-01-24,7,simtec:1|redhat:2|st:3|arm:1,578,44,11,7
2005-01-26,2,linux-mips:2,24,15,3,2
2005-01-28,1,st:1,28,47,3,1
2005-01-31,3,linutronix:3,13,22,3,3
2005-02-01,4,linux-mips:4,341,236,9,4
2005-02-02,3,infradead:1|linux-mips:2,13,3,3,3
2005-02-03,6,cantab:2|linux-mips:4,289,274,16,6
2005-02-04,4,axis:1|linux-mips:3,16,25,4,4
2005-02-05,2,cam:1|st:1,22,8,3,2
2005-02-06,2,linux-mips:2,64,3,3,2
2005-02-07,8,linux-mips:8,267,57,13,8
2005-02-08,3,cam:3,516,152,11,3
2005-02-09,6,sanpeople:3|linutronix:1|infradead:1|linux-mips:1,204,137,27,6
2005-02-10,3,linux-mips:3,197,107,19,3
2005-02-11,1,infradead:1,38,14,1,1
2005-02-12,1,linux-mips:1,2,0,1,1
2005-02-13,4,linux-mips:4,14,19,4,4
2005-02-14,2,simtec:2,28,2,2,2
2005-02-15,1,cantab:1,119,113,6,1
2005-02-16,11,sgi:1|samsung:1|cam:1|infradead:1|linux-mips:7,173,309,21,11
2005-02-17,3,wildopensource:1|infradead:1|cam:1,1507,1623,3,3
2005-02-18,8,hpl:1|cantab:2|simtec:2|infradead:1|smurf:1|embeddedalley:1,38,27,10,8
2005-02-19,5,networkno:4|realitydiluted:1,133,113,6,5
2005-02-21,8,networkno:5|linux-mips:3,737,834,26,8
2005-02-22,5,linutronix:2|linux-mips:3,292,263,15,5
2005-02-23,1,wohnheim:1,3,3,1,1
2005-02-25,1,networkno:1,24,22,1,1
2005-02-26,1,dsv:1,1,1,1,1
2005-02-27,3,pacbell:1|infradead:1|embeddedalley:1,225,886,13,3
2005-02-28,5,infradead:1|embeddedalley:1|linux-mips:3,259,298,30,5
2005-03-01,10,linutronix:1|infradead:1|realitydiluted:1|embeddedalley:2|linux-mips:4|parisc-linux:1,2878,1193,64,10
2005-03-02,4,cantab:1|arcom:1|jp:1|linux-mips:1,184,423,7,4
2005-03-03,4,osdl:1|cantab:3,154,151,15,4
2005-03-04,5,embeddedalley:1|linux-mips:3|networkno:1,79,52,11,5
2005-03-07,5,cantab:2|wohnheim:2|linux-mips:1,160,42,13,5
2005-03-08,1,linux-mips:1,5,0,2,1
2005-03-09,2,cantab:2,314,9,5,2
2005-03-10,2,cantab:1|linux-mips:1,51,16,4,2
2005-03-13,2,networkno:1|embeddedalley:1,27,16,3,2
2005-03-14,4,simtec:3|linux-mips:1,17,15,5,4
2005-03-15,6,linutronix:2|suse:4,286,105,15,6
2005-03-16,2,cam:1|linux-mips:1,2,8,2,2
2005-03-17,3,cantab:1|simtec:1|linux-mips:1,103,148,8,3
2005-03-18,17,sgi:1|linutronix:1|infradead:1|coderock:1|wantstofly:1|intel:9|linux-mips:3,1749,370,41,17
2005-03-19,8,infradead:1|linutronix:3|intel:3|mail:1,412,182,13,8
2005-03-20,4,infradead:3|linux-mips:1,15,6,5,4
2005-03-21,15,sgi:1|rpsys:2|digitalimplant:9|intworks:1|linux-mips:2,845,396,37,15
2005-03-22,2,sgi:1|suse:1,23,29,5,2
2005-03-23,19,sgi:7|linux:1|suse:10|intel:1,17426,509,65,19
2005-03-24,20,sgi:1|hp:1|infradead:1|stusta:1|cmedia:2|suse:2|digitalimplant:12,121,188,27,20
2005-03-25,6,hpl:1|sgi:1|linux:1|suse:2|free:1,9501,15,11,6
2005-03-26,2,superbug:2,279,33,4,2
2005-03-27,3,sf-tec:1|superbug:1|mrcoffee:1,15,4,3,3
2005-03-28,1,emc:1,10,3,2,1
2005-03-29,5,wil:1|ieee:1|mvista:1|suse:1|snoqualmie:1,108,102,5,5
2005-03-30,18,arm:1|graphe:1|suse:4|joe-job:2|ladisch:1|cl:1|sgi:1|osdl:2|gna:1|stusta:1|grupopie:1|jp:1|rowland:1,8031,127,65,18
2005-03-31,4,mvista:1|suse:1|intel:2,123,23,8,4
2005-04-01,9,cam:3|linutronix:1|pobox:1|suse:1|intel:1|networkno:1|linux-mips:1,198,99,35,9
2005-04-02,5,torque:1|de:1|linux-fr:2|networkno:1,274,391,47,5
2005-04-03,15,mulgrave:1|lst:4|gmail:4|www:6,221,557,78,15
2005-04-04,11,sgi:2|cantab:2|dif:1|ieee:1|linutronix:1|suse:1|napali:1|nuerscht:1|embeddedalley:1,953,851,21,11
2005-04-05,8,intel:1|infradead:2|ucw:1|digitalimplant:1|suse:1|opensource:1|rowland:1,127,146,11,8
2005-04-06,11,sgi:1|cantab:3|kvack:1|infradead:1|ieee:3|ladisch:2,138,98,18,11
2005-04-07,9,ieee:2|suse:3|smlink:3|embeddedalley:1,198,72,14,9
2005-04-08,15,sgi:1|soft:1|suse:3|in:1|coderock:2|ladisch:1|linux-mips:4|MIT:1|embeddedalley:1,370,94,21,15
2005-04-09,10,pacbell:1|infradead:1|superbug:2|artecdesign:1|rowland:5,3366,545,28,10
2005-04-10,9,lst:2|titanic:4|gmx:1|superbug:2,199,291,25,9
2005-04-11,18,sgi:1|hpl:1|sf-tec:1|stusta:2|linutronix:1|nokia:1|develer:1|altlinux:2|suse:3|anagramm:1|rhlx01:1|pacbell:2|networkno:1,1116,178,59,18
2005-04-12,13,suse:3|titanic:3|hpl:1|cam:2|eth:2|linux-mips:2,83,46,25,13
2005-04-13,13,mail:1|infradead:1|suse:2|embeddedalley:2|gmx:2|networkno:1|linux-mips:4,1362,232,38,13
2005-04-14,9,am:1|suse:4|intel:1|linux-mips:3,550,200,19,9
2005-04-15,2,suse:1|intel:1,285,81,11,2
2005-04-16,202,ppc970:1|engr:1|cse:6|osdl:12|infradead:1|SteelEye:2|aknet:1|davemloft:2|redhat:6|linux:1|suse:37|sgi:1|conectiva:1|gondor:2|hpl:1|samba:6|ebshome:1|kernel:13|freescale:4|swintel:1|solinno:1|ens-lyon:5|austin:1|hh:3|intel:10|rightthere:1|muc:1|users:1|ucw:15|dsv:1|yahoo:1|vt:1|informatik:2|lst:3|blackham:1|clusterfs:1|us:2|sternwelten:3|opensource:1|selenic:1|colino:1|wantstofly:1|stusta:2|lovecn:1|arm:2|verge:1|voltaire:3|topspin:25|mellanox:9|mail:1|linux-fr:1,6723551,2825,17771,202
2005-04-17,30,dyn-67:5|pacbell:1|ppc970:2|davemloft:4|wooyd:1|gmail:2|qlogic:7|lst:1|stusta:1|titanic:4|2ka:1|networkno:1,24480,6877,102,30
2005-04-18,73,f00f:1|linux-m68k:2|tycho:1|redhat:1|elte:1|titanic:2|ppc970:2|dyn-67:1|davemloft:1|suse:4|insightbb:1|osdl:2|pacbell:7|us:1|vmware:1|ipom:1|derklecks:1|winischhofer:1|rowland:2|conectiva:2|mip:1|dif:2|mail:1|2ka:2|linux-fr:2|acm:1|vrfy:8|pengutronix:1|mesatop:1|topspin:1|speakeasy:1|coraid:10|hpl:1|intel:3|sgi:1|linux-mips:2,7141,5798,289,73
2005-04-19,28,ppc970:4|veritas:12|gondor:5|linux-ipv6:1|suug:1|davemloft:1|osdl:1|ghostprotocols:1|colorfullife:1|linux-mips:1,587,454,69,28
2005-04-20,8,ppc970:1|parcelfarce:1|dif:1|yahoo:1|suse:4,70,38,11,8
2005-04-21,56,SteelEye:2|ppc970:2|telia:1|suse:1|hpl:1|twiddle:1|qlogic:1|lst:1|verizon:1|de:1|steamballoon:2|stusta:2|trash:2|cmf:1|ghostprotocols:1|tuxdriver:10|broadcom:11|davemloft:3|sunset:1|sh:2|pm:1|mulgrave:2|wohnheim:1|artecdesign:1|rowland:2|neukum:1|embeddedalley:1,7053,10956,95,56
2005-04-22,31,ppc970:1|telia:1|intel:4|linux-ipv6:1|anderson:1|agoctrl:1|suse:1|winischhofer:1|stusta:4|mail:2|davehollis:1|pacbell:2|lsil:7|ladisch:3|rowland:1,2501,1386,45,31
2005-04-23,6,desy:1|sgi:1|mulgrave:1|qlogic:1|pacbell:1|suse:1,132,255,24,6
2005-04-24,46,www:12|parcelfarce:1|trash:2|ghostprotocols:2|cmf:2|dif:1|sunset:2|osdl:1|davemloft:1|cyberus:1|candelatech:2|gondor:1|suug:1|redhat:7|mc:1|gmail:5|stusta:2|mulgrave:1|colino:1,1760,5149,84,46
2005-04-25,80,ppc970:2|www:11|stusta:2|org:4|sgi:23|hpl:4|toshiba:1|trash:1|sunset:1|hp:1|intel:6|jp:2|broadcom:3|net:2|redhat:1|parcelfarce:1|one-eyed-alien:1|suse:1|ens-lyon:2|ladisch:1|altlinux:2|undata:1|linux-fr:1|rowland:5|networkno:1,6989,1361,229,80
2005-04-26,39,dyn-67:11|ppc970:4|www:10|sgi:2|parcelfarce:3|cyclades:1|osdl:1|suse:1|ameritech:5|linux-fr:1,376,453,66,39
2005-04-27,23,ppc970:1|dyn-67:1|redhat:1|kernel:1|hpl:14|suse:2|osdl:1|www:1|mvista:1,667,545,34,23
2005-04-28,108,dyn-67:3|engr:1|sunset:1|hp:3|redhat:6|us:1|6wind:1|kopf-tisch:1|ppc970:1|austin:29|snoqualmie:1|intel:49|ladisch:1|digitalimplant:1|rowland:1|pacbell:3|jp:3|networkno:1|linux-mips:1,7326,4534,236,108
2005-04-29,47,kernel:1|shinybook:3|osdl:2|akamai:1|redhat:3|hp:1|hh:1|us:2|ppc970:4|org:5|com:2|ee:1|de:1|mev:2|coraid:6|tw:1|ladisch:4|ameritech:6|rowland:1,1497,428,96,47
2005-04-30,18,osdl:1|dyn-67:5|samba:1|austin:2|ppc970:2|ravnborg:3|stusta:1|mulgrave:1|lsil:1|dodo:1,911,69,27,18
2005-05-01,186,osdl:7|clusterfs:3|yahoo:16|jp:1|holomorphy:1|dbl:1|tycho:1|redhat:3|kernel:11|samba:9|radstone:2|waterwave:1|embeddededge:1|colino:3|austin:2|lixom:1|port:1|lucon:1|bluesong:1|intworks:1|aknet:2|joe-job:1|zytor:1|us:9|intel:8|arm:1|suse:6|cmp:2|telia:1|ucw:1|addtoit:1|bigpond:1|landley:1|de:12|selenic:4|gentoo:2|onlinehome:3|users:1|ccur:1|oracle:1|canb:2|dif:3|gsecone:1|boichat:1|namesys:1|gmail:3|acm:5|topspin:1|themaw:3|www:5|bytesex:3|sgi:5|hotpop:1|stusta:9|fs:1|ilport:1|pengutronix:1|rcdrummond:2|admingilde:5|shadow:1|pobox:1|ravnborg:1|bandersnatch:1|cs:1|steeleye:1|kolumbus:1,6678,5594,583,186
2005-05-02,27,kernel:3|austin:6|suse:1|ipom:1|us:3|stusta:4|ladisch:5|lightlink:1|2ka:1|linux-fr:1|rowland:1,1323,926,65,27
2005-05-03,59,addtoit:1|shinybook:2|dyn-67:4|osdl:4|kernel:1|agluck-lia64:1|trash:6|gondor:5|suug:5|dif:2|gobolinux:1|vanheusden:2|gmail:1|de:1|org:1|ppc970:2|sunset:2|tpack:1|intel:2|cyberus:1|davemloft:2|imag:1|mesatop:3|austin:1|infradead:1|ladisch:1|freescale:1|rowland:3|hp:1,1212,1094,146,59
2005-05-04,30,ppc970:6|austin:4|www:9|ilport:1|kleikamp:1|hpl:2|osdl:1|ladisch:1|superbug:2|linux-mips:3,399,572,85,30
2005-05-05,137,cantab:3|dyn-67:3|shinybook:1|austin:2|hpl:1|sisk:1|sgi:14|ghostprotocols:2|lst:5|trash:1|davemloft:2|broadcom:1|lovecn:1|org:2|ppc970:3|telia:1|suse:3|intel:1|osdl:8|ntlworld:1|gondor:1|infradead:1|freescale:1|samba:1|dif:3|gibson:1|yahoo:7|parcelfarce:10|addtoit:5|fujitsu-siemens:8|in:2|redhat:9|gmx:2|grupopie:1|stusta:9|kernel:1|anevia:1|dominikbrodowski:1|kromtek:1|gnu:1|sternwelten:1|coderock:5|sk-tech:1|bfs:1|pengutronix:1|bendigoit:1|gmail:1|linux-user:1|snoqualmie:1|wacom:1|linux-mips:1,5720,3152,407,137
