date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
2001-06-06,3,llvm:1|nondot:2,18523,1,141,3
2001-06-07,9,nondot:9,558,255,13,9
2001-06-08,6,nondot:6,142,57,11,6
2001-06-11,5,nondot:5,409,328,16,5
2001-06-13,5,nondot:5,444,69,7,5
2001-06-20,14,nondot:14,739,191,17,14
2001-06-21,8,nondot:8,309,41,9,8
2001-06-22,4,nondot:4,289,11,5,4
2001-06-24,9,nondot:9,833,531,11,9
2001-06-25,10,nondot:10,387,248,24,10
2001-06-27,20,nondot:20,1147,369,48,20
2001-06-29,11,nondot:11,161,89,12,11
2001-06-30,12,nondot:12,572,282,25,12
2001-07-02,6,nondot:6,747,4,7,6
2001-07-03,12,nondot:12,229,67,15,12
2001-07-06,8,nondot:8,700,195,10,8
2001-07-07,9,nondot:9,444,797,57,9
2001-07-08,11,nondot:11,2594,2039,56,11
2001-07-09,7,nondot:7,926,218,9,7
2001-07-12,3,nondot:3,10,3,3,3
2001-07-14,9,nondot:9,238,177,27,9
2001-07-15,16,nondot:14|cs:2,1910,1541,33,16
2001-07-16,1,nondot:1,1,1,1,1
2001-07-18,2,nondot:2,5,3,3,2
2001-07-20,20,nondot:16|cs:4,958,198,28,20
2001-07-21,38,cs:15|nondot:23,6223,360,82,38
2001-07-22,10,nondot:10,293,2868,26,10
2001-07-23,19,nondot:19,2254,2164,117,19
2001-07-24,2,students:2,963,0,13,2
2001-07-25,9,nondot:9,197,2243,22,9
2001-07-26,5,nondot:5,124,93,7,5
2001-07-28,23,cs:11|nondot:12,1515,749,33,23
2001-07-30,3,cs:3,46,2,4,3
2001-07-31,9,cs:9,88,37,10,9
2001-08-06,7,cs:7,43,23,9,7
2001-08-07,3,students:3,26,12,4,3
2001-08-08,1,cs:1,1,2,1,1
2001-08-09,2,cs:2,19,13,2,2
2001-08-13,4,students:3|cs:1,19,14,4,4
2001-08-20,2,students:2,438,259,11,2
2001-08-23,8,nondot:8,1711,15,20,8
2001-08-24,1,nondot:1,2,0,2,1
2001-08-25,2,cs:1|nondot:1,4,6,3,2
2001-08-27,14,nondot:14,603,253,23,14
2001-08-28,25,cs:25,7182,1492,32,25
2001-08-31,2,students:2,1117,4,6,2
2001-09-01,1,nondot:1,5,12,1,1
2001-09-07,90,nondot:90,3604,2489,113,90
2001-09-08,4,students:4,959,21,18,4
2001-09-09,19,nondot:18|cs:1,396,310,30,19
2001-09-10,20,nondot:20,538,168,43,20
2001-09-11,5,nondot:5,179,201,12,5
2001-09-12,2,nondot:2,220,320,8,2
2001-09-14,30,nondot:27|students:3,8859,7992,117,30
2001-09-15,13,students:13,1103,226,27,13
2001-09-18,38,nondot:12|cs:22|students:4,3759,2676,74,38
2001-09-19,18,nondot:15|students:3,1326,826,24,18
2001-09-28,14,nondot:14,848,472,35,14
2001-09-30,16,nondot:3|students:7|cs:6,1864,1419,30,16
2001-10-01,14,cs:3|nondot:11,2015,1929,99,14
2001-10-02,1,nondot:1,342,228,40,1
2001-10-03,15,nondot:15,521,302,56,15
2001-10-04,1,nondot:1,123,4,1,1
2001-10-09,1,students:1,6,5,1,1
2001-10-10,9,cs:9,644,432,14,9
2001-10-11,3,cs:3,168,100,4,3
2001-10-12,3,students:3,94,35,6,3
2001-10-13,60,nondot:59|cs:1,1736,361,74,60
2001-10-14,25,nondot:14|cs:11,1544,166,30,25
2001-10-15,32,nondot:26|cs:1|students:5,1827,1093,79,32
2001-10-16,6,students:5|nondot:1,431,178,16,6
2001-10-17,8,cs:8,311,182,12,8
2001-10-18,54,cs:15|nondot:35|students:4,1894,1479,99,54
2001-10-19,8,nondot:1|students:7,263,68,14,8
2001-10-20,6,nondot:3|cs:3,49,32,8,6
2001-10-21,5,nondot:4|students:1,254,142,9,5
2001-10-22,24,nondot:4|cs:20,766,481,28,24
2001-10-23,12,nondot:9|students:3,340,160,19,12
2001-10-24,9,nondot:7|students:2,347,162,18,9
2001-10-27,5,nondot:5,417,113,23,5
2001-10-28,29,students:3|cs:21|nondot:5,1826,576,35,29
2001-10-29,20,nondot:20,679,290,20,20
2001-10-30,12,nondot:12,330,55,13,12
2001-10-31,13,nondot:13,430,18,19,13
2001-11-01,19,nondot:19,1031,155,25,19
2001-11-02,2,nondot:2,56,114,2,2
2001-11-03,20,nondot:13|students:7,1017,271,32,20
2001-11-04,11,nondot:9|cs:2,1400,757,20,11
2001-11-05,13,cs:8|nondot:5,761,346,24,13
2001-11-06,18,nondot:13|cs:4|students:1,366,608,30,18
2001-11-07,15,nondot:14|cs:1,573,164,28,15
2001-11-08,35,cs:28|students:2|nondot:5,1531,1093,56,35
2001-11-09,16,nondot:4|cs:10|students:2,865,178,19,16
2001-11-10,16,students:5|cs:3|nondot:8,1128,206,21,16
2001-11-11,6,cs:4|students:2,64,56,7,6
2001-11-12,25,cs:10|students:7|nondot:8,609,252,37,25
2001-11-13,9,nondot:6|students:3,139,77,12,9
2001-11-14,15,nondot:4|students:5|cs:6,375,147,27,15
2001-11-15,16,students:8|nondot:2|cs:6,351,108,19,16
2001-11-26,66,nondot:66,2276,1163,95,66
2001-11-27,1,nondot:1,1042,223,75,1
2001-11-29,1,nondot:1,1,432,3,1
2001-12-03,6,nondot:6,1134,1039,104,6
2001-12-04,8,nondot:8,287,138,52,8
2001-12-05,10,nondot:10,211,63,12,10
2001-12-06,3,nondot:3,14,16,3,3
2001-12-07,4,nondot:4,111,62,4,4
2001-12-08,3,nondot:1|students:2,320,35,7,3
2001-12-09,2,nondot:1|students:1,173,4,3,2
2001-12-12,1,cs:1,8,2,2,1
2001-12-13,13,nondot:12|students:1,167,36,15,13
2001-12-14,26,nondot:26,899,1301,39,26
2001-12-15,8,cs:8,72,187,12,8
2002-01-07,9,students:9,979,613,26,9
2002-01-08,2,students:2,23,6,2,2
2002-01-20,2,nondot:2,1863,1811,193,2
2002-01-21,18,nondot:18,627,526,80,18
2002-01-22,13,nondot:13,178,212,31,13
2002-01-23,18,nondot:18,315,162,24,18
2002-01-24,3,nondot:3,153,0,4,3
2002-01-25,5,nondot:5,66,21,6,5
2002-01-26,4,nondot:4,905,12,8,4
2002-01-30,7,nondot:7,869,165,25,7
2002-01-31,24,nondot:24,1063,681,49,24
2002-02-01,10,nondot:10,136,54,11,10
2002-02-03,34,nondot:34,1356,1308,39,34
2002-02-04,39,nondot:39,2497,3243,79,39
2002-02-05,17,nondot:17,947,1215,79,17
2002-02-11,10,nondot:7|cs:3,335,9,14,10
2002-02-12,15,nondot:15,774,560,67,15
2002-02-13,2,nondot:2,25,0,2,2
2002-02-14,7,nondot:7,192,16,8,7
2002-02-17,1,nondot:1,16,0,1,1
2002-02-18,3,nondot:3,37,5,3,3
