date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
2009-02-16,2,tinyclouds:2,1001,0,8,2
2009-02-20,4,tinyclouds:4,137,185,9,4
2009-02-21,1,tinyclouds:1,36,88,5,1
2009-02-22,3,tinyclouds:3,77,36,11,3
2009-02-23,4,tinyclouds:4,405,757,14,4
2009-02-24,1,tinyclouds:1,129,10,2,1
2009-03-01,1,tinyclouds:1,22,46,2,1
2009-03-02,1,tinyclouds:1,268,37,7,1
2009-03-03,4,tinyclouds:4,894,517,16,4
2009-03-04,8,tinyclouds:8,637,109,33,8
2009-03-05,6,tinyclouds:6,516,179,14,6
2009-03-06,1,tinyclouds:1,350,126,7,1
2009-03-07,1,tinyclouds:1,63,138,4,1
2009-03-09,5,tinyclouds:5,216,141,9,5
2009-03-13,1,tinyclouds:1,30,47,6,1
2009-03-15,6,tinyclouds:6,59,14,9,6
2009-04-03,1,tinyclouds:1,28836,0,45,1
2009-04-04,2,tinyclouds:2,365,72,17,2
2009-04-15,2,tinyclouds:2,1976,510,20,2
2009-04-16,10,tinyclouds:10,602,1057,28,10
2009-04-17,1,tinyclouds:1,209,221,4,1
2009-04-18,5,tinyclouds:5,177,89,17,5
2009-04-20,5,tinyclouds:5,200,363,16,5
2009-04-21,9,tinyclouds:9,526,492,30,9
2009-04-22,13,tinyclouds:13,310556,118,965,13
2009-04-23,8,tinyclouds:8,122,77,18,8
2009-04-28,2,tinyclouds:2,172,1623,34,2
2009-04-29,6,tinyclouds:6,334,410,25,6
2009-05-02,1,tinyclouds:1,412,425,4,1
2009-05-03,6,tinyclouds:6,7595,4091,48,6
2009-05-04,6,tinyclouds:6,317,197,23,6
2009-05-05,4,tinyclouds:4,655,974,31,4
2009-05-06,3,tinyclouds:3,254,147,5,3
2009-05-07,3,tinyclouds:3,228,119,10,3
2009-05-11,4,tinyclouds:4,112,30,6,4
2009-05-12,4,tinyclouds:4,15700,2848,256,4
2009-05-13,6,tinyclouds:6,314,83,13,6
2009-05-14,8,tinyclouds:8,588,354,26,8
2009-05-15,6,tinyclouds:6,317,46,27,6
2009-05-16,4,tinyclouds:4,119,92,11,4
2009-05-17,1,tinyclouds:1,132,117,4,1
2009-05-18,6,tinyclouds:6,1157,446,17,6
2009-05-19,11,tinyclouds:11,464,142,29,11
2009-05-20,8,tinyclouds:8,300,179,17,8
2009-05-21,2,tinyclouds:2,78,59,8,2
2009-05-25,3,tinyclouds:3,286,186,8,3
2009-05-26,11,tinyclouds:11,1482,939,36,11
2009-05-27,7,tinyclouds:7,955,894,16,7
2009-05-28,3,tinyclouds:3,85,15,4,3
2009-05-29,3,tinyclouds:3,13,42,3,3
2009-05-30,2,tinyclouds:2,87,71,2,2
2009-05-31,2,tinyclouds:2,21,21,2,2
2009-06-01,2,tinyclouds:2,32,13,5,2
2009-06-03,1,tinyclouds:1,7,8,1,1
2009-06-04,4,tinyclouds:4,70,24,10,4
2009-06-05,8,bettong:3|tinyclouds:5,1082,838,12,8
2009-06-06,1,tinyclouds:1,11,4,2,1
2009-06-08,5,tinyclouds:5,14325,8360,343,5
2009-06-09,7,tinyclouds:7,313,55,11,7
2009-06-10,5,tinyclouds:5,480,325,7,5
2009-06-11,6,tinyclouds:6,47,13,8,6
2009-06-12,5,tinyclouds:5,463,272,13,5
2009-06-13,3,tinyclouds:3,26,14,6,3
2009-06-15,3,tinyclouds:3,72,88,8,3
2009-06-16,9,bettong:2|tinyclouds:7,180,54,12,9
2009-06-17,5,bettong:2|tinyclouds:3,6849,2115,117,5
2009-06-18,7,bettong:1|tinyclouds:6,194,137,13,7
2009-06-19,1,bettong:1,0,0,0,1
2009-06-20,3,tinyclouds:3,347,9,11,3
2009-06-21,16,tinyclouds:11|bettong:5,672,73,24,16
2009-06-22,7,tinyclouds:7,1559,369,229,7
2009-06-23,2,tinyclouds:2,12,6,3,2
2009-06-24,3,tinyclouds:3,126,39,6,3
2009-06-25,2,tinyclouds:2,208,111,11,2
2009-06-26,4,tinyclouds:4,532,565,26,4
2009-06-27,7,tinyclouds:7,137,124,20,7
2009-06-28,6,tinyclouds:6,512,280,28,6
2009-06-29,7,tinyclouds:7,55008,3241,188,7
2009-06-30,8,tinyclouds:7|gmail:1,1233,1241,30,8
2009-07-10,2,tinyclouds:2,160,229,18,2
2009-07-11,1,tinyclouds:1,7,2,2,1
2009-07-12,3,tinyclouds:3,50,23,9,3
2009-07-13,5,tinyclouds:5,1270,1046,28,5
2009-07-14,3,tinyclouds:3,349,330,6,3
2009-07-15,5,tinyclouds:5,170,6,8,5
2009-07-16,4,tinyclouds:4,91,121,9,4
2009-07-20,7,tinyclouds:7,12085,4854,178,7
2009-07-23,3,tinyclouds:3,23,11,3,3
2009-07-24,7,tinyclouds:7,96,77,11,7
2009-07-25,1,tinyclouds:1,306,306,12,1
2009-07-27,2,tinyclouds:2,38,2,5,2
2009-07-28,1,tinyclouds:1,9585,33,46,1
2009-07-30,1,tinyclouds:1,23,27,1,1
