date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
1998-12-21,15,openssl:12|cvs2svn:3,290536,12835,2265,15
1998-12-22,6,openssl:6,1413,5058,166,6
1998-12-23,7,openssl:7,132,116,82,7
1998-12-26,1,openssl:1,1,0,1,1
1998-12-28,9,openssl:9,122,2845,29,9
1998-12-29,3,openssl:3,945,105,19,3
1998-12-30,8,openssl:6|stephen:2,6682,6491,60,8
1998-12-31,11,stephen:2|openssl:9,404,680,49,11
1999-01-01,7,stephen:1|openssl:6,359,28,12,7
1999-01-02,13,openssl:13,182,754,56,13
1999-01-03,6,openssl:6,75,14,28,6
1999-01-04,5,openssl:5,20,5,10,5
1999-01-06,4,openssl:4,27,10,9,4
1999-01-07,4,openssl:4,93,15,30,4
1999-01-09,3,openssl:3,77,36,13,3
1999-01-10,2,openssl:2,30,17,4,2
1999-01-12,1,openssl:1,56,31,3,1
1999-01-14,2,openssl:2,15,7,4,2
1999-01-16,6,openssl:6,55,49,8,6
1999-01-17,9,openssl:9,721,2183,25,9
1999-01-18,2,openssl:2,193,45,26,2
1999-01-19,3,openssl:3,4106,1496,79,3
1999-01-20,1,openssl:1,53,28,9,1
1999-01-21,2,openssl:2,17,6,2,2
1999-01-24,5,openssl:5,2573,93,36,5
1999-01-25,5,openssl:5,49,18,11,5
1999-01-26,2,openssl:2,228,155,7,2
1999-01-28,6,openssl:6,547,76,25,6
1999-01-29,2,openssl:2,222,19,13,2
1999-01-30,12,openssl:12,481,1016,38,12
1999-01-31,8,openssl:8,113,27,38,8
1999-02-01,4,openssl:4,1491,1414,8,4
1999-02-06,7,openssl:7,28,339,9,7
1999-02-07,3,openssl:3,463,12,11,3
1999-02-08,1,openssl:1,1,1,1,1
1999-02-09,4,openssl:4,512,82,25,4
1999-02-10,10,openssl:10,1440,9766,133,10
1999-02-11,2,openssl:2,1040,7,7,2
1999-02-12,2,openssl:2,9,10013,18,2
1999-02-13,10,openssl:10,909,4706,70,10
1999-02-14,6,openssl:6,243,37,18,6
1999-02-15,1,openssl:1,45,16,11,1
1999-02-16,1,openssl:1,964,501,25,1
1999-02-17,4,openssl:4,976,33,28,4
1999-02-18,1,openssl:1,5,3,3,1
1999-02-19,2,openssl:2,377,58,19,2
1999-02-20,4,openssl:4,182,19,19,4
1999-02-21,8,openssl:8,752,225,46,8
1999-02-22,2,openssl:2,346,110,27,2
1999-02-23,7,openssl:7,734,76,14,7
1999-02-24,2,openssl:2,24,8,3,2
1999-02-25,12,openssl:12,267,95,29,12
1999-02-26,3,openssl:3,12,8,4,3
1999-02-27,2,openssl:2,205,144,14,2
1999-02-28,5,openssl:5,325,329,15,5
1999-03-03,1,openssl:1,84,26,13,1
1999-03-04,4,openssl:4,83,23,14,4
1999-03-05,2,openssl:2,57,12,6,2
1999-03-06,19,openssl:19,3460,3297,130,19
1999-03-07,8,openssl:8,34,2886,20,8
1999-03-08,13,openssl:13,720,567,42,13
1999-03-09,8,openssl:8,219,185,19,8
1999-03-10,8,openssl:8,63,28,16,8
1999-03-11,1,openssl:1,14,0,2,1
1999-03-12,8,openssl:8,80,22,14,8
1999-03-14,2,openssl:2,17,10,7,2
1999-03-17,1,openssl:1,11,9,2,1
1999-03-20,3,openssl:3,10,2101,7,3
1999-03-22,16,openssl:16,1119,1021,106,16
1999-03-23,2,openssl:2,4,16,2,2
1999-03-24,1,openssl:1,10,4,2,1
1999-03-25,1,openssl:1,12,0,3,1
1999-03-27,4,openssl:4,334,437,22,4
1999-03-28,3,openssl:3,4523,17,45,3
1999-03-29,4,openssl:4,922,158,43,4
1999-03-30,3,openssl:3,24,1956,4,3
1999-03-31,2,openssl:2,55,26,17,2
1999-04-01,10,openssl:10,508,15922,93,10
1999-04-02,1,openssl:1,6,0,1,1
1999-04-03,1,openssl:1,2,2,1,1
1999-04-06,2,openssl:2,2,5368,31,2
1999-04-07,2,openssl:2,4,7,2,2
1999-04-08,8,openssl:8,317,17,17,8
1999-04-09,7,openssl:7,385,138,19,7
1999-04-10,6,openssl:6,59,53,9,6
1999-04-11,2,openssl:2,35,44,4,2
1999-04-12,6,openssl:6,1384,1069,60,6
1999-04-13,4,openssl:4,28,711,17,4
1999-04-14,7,openssl:7,304,44,19,7
1999-04-15,3,openssl:3,88,35,5,3
1999-04-16,4,openssl:4,134,26,14,4
1999-04-17,4,openssl:4,908,487,146,4
1999-04-18,3,openssl:3,748,101,16,3
1999-04-19,14,openssl:14,4630,7504,528,14
1999-04-20,9,openssl:9,424,208,45,9
1999-04-21,6,openssl:6,648,529,35,6
1999-04-22,10,openssl:10,83,54,38,10
1999-04-23,16,openssl:16,7803,5703,706,16
1999-04-24,17,openssl:17,2247,3316,189,17
1999-04-25,8,openssl:8,179,73,29,8
1999-04-26,5,openssl:5,183,4440,297,5
1999-04-27,13,openssl:13,1248,1303,198,13
1999-04-28,13,openssl:13,260,221,62,13
1999-04-29,19,openssl:19,584,634,141,19
1999-04-30,5,openssl:5,94,49,10,5
1999-05-01,13,openssl:13,516,289,50,13
1999-05-02,2,openssl:2,163,68,11,2
1999-05-03,1,openssl:1,15,11,3,1
1999-05-04,12,openssl:12,1778,176,30,12
1999-05-05,7,openssl:7,506,362,18,7
1999-05-06,8,openssl:8,433,249,21,8
1999-05-07,4,openssl:4,234,127,13,4
1999-05-08,9,openssl:9,279,1300,22,9
1999-05-09,8,openssl:8,485,207,45,8
1999-05-10,10,openssl:10,127,68,31,10
1999-05-11,8,openssl:8,110,53,20,8
1999-05-12,4,openssl:4,46,14,10,4
1999-05-13,18,openssl:18,19636,1337,203,18
1999-05-14,8,openssl:8,383,162,26,8
1999-05-15,18,openssl:18,3231,2856,72,18
1999-05-16,11,openssl:11,521,411,60,11
1999-05-17,13,openssl:13,75,54,21,13
1999-05-18,8,openssl:8,49,20,14,8
1999-05-19,11,openssl:11,200,72,26,11
1999-05-20,14,openssl:13|cvs2svn:1,3556,3606,88,14
1999-05-21,7,openssl:7,3086,2943,50,7
1999-05-22,1,openssl:1,4,4,1,1
1999-05-23,8,openssl:8,72,25,10,8
1999-05-24,6,openssl:6,39,76,9,6
1999-05-25,3,openssl:3,13,7,6,3
1999-05-26,3,openssl:3,31,29,3,3
1999-05-27,8,openssl:8,215,34,22,8
1999-05-28,4,openssl:4,57,10,16,4
1999-05-29,4,openssl:4,39,15,7,4
1999-05-30,7,openssl:7,135,102,24,7
1999-05-31,8,openssl:8,209,109,27,8
1999-06-01,3,openssl:3,19,20,3,3
1999-06-02,5,openssl:5,91,72,18,5
1999-06-03,2,openssl:2,128,59,19,2
1999-06-04,16,openssl:16,1007,111,79,16
1999-06-05,5,openssl:5,444,50,18,5
1999-06-06,3,openssl:3,265,118,24,3
1999-06-07,14,openssl:14,932,303,53,14
1999-06-08,13,openssl:13,161,115,35,13
1999-06-09,21,openssl:21,1958,819,63,21
1999-06-10,9,openssl:9,172,61,44,9
1999-06-11,4,openssl:4,392,11,7,4
1999-06-12,4,openssl:4,882,41,20,4
1999-06-14,5,openssl:5,90,735,7,5
1999-06-15,2,openssl:2,9,2,5,2
1999-06-16,2,openssl:2,10,3,2,2
1999-06-17,1,openssl:1,5,4,3,1
1999-06-18,4,openssl:4,18,1,6,4
1999-06-20,2,openssl:2,290,214,25,2
1999-06-21,5,openssl:5,198,147,26,5
1999-06-22,2,openssl:2,188,116,10,2
1999-06-23,1,openssl:1,7,4,3,1
1999-06-24,2,openssl:2,15,21,4,2
1999-06-25,4,openssl:4,22,20,8,4
1999-06-26,2,openssl:2,17,17,4,2
1999-06-28,3,openssl:3,4,4,3,3
1999-06-29,2,openssl:2,42,3,9,2
1999-06-30,1,openssl:1,22,3,4,1
1999-07-02,4,openssl:4,82,18,10,4
1999-07-05,3,openssl:3,11,6,6,3
1999-07-06,1,openssl:1,2,2,1,1
1999-07-09,8,openssl:8,63,183,13,8
1999-07-10,1,openssl:1,2,2,1,1
1999-07-11,7,openssl:7,304,27,20,7
1999-07-12,8,openssl:8,729,78,25,8
1999-07-13,1,openssl:1,2,3,2,1
1999-07-14,2,openssl:2,8,8,3,2
1999-07-15,3,openssl:3,53,273,9,3
1999-07-16,2,openssl:2,5,1,2,2
1999-07-17,1,openssl:1,1,1,1,1
1999-07-18,1,openssl:1,19,1,2,1
1999-07-19,3,openssl:3,72,25,12,3
1999-07-20,4,openssl:4,2616,551,7,4
1999-07-21,7,openssl:7,407,1206,54,7
1999-07-22,4,openssl:4,34,652,17,4
1999-07-24,1,openssl:1,48,105,9,1
1999-07-25,8,openssl:8,1265,1177,17,8
1999-07-26,2,openssl:2,1,6,5,2
1999-07-27,5,openssl:5,155,87,17,5
1999-07-28,1,openssl:1,282,59,22,1
1999-07-29,7,openssl:7,104,1011,13,7
1999-07-30,5,openssl:5,212,101,10,5
1999-07-31,1,openssl:1,35,6,1,1
1999-08-01,2,openssl:2,2,3,2,2
1999-08-02,7,openssl:7,36,19,13,7
1999-08-03,6,openssl:6,14,12,6,6
1999-08-04,1,openssl:1,1,1,1,1
1999-08-05,5,openssl:5,173,60,15,5
1999-08-06,3,openssl:3,71,45,5,3
1999-08-07,3,openssl:3,90,9,4,3
1999-08-08,14,openssl:14,68,29,25,14
1999-08-09,8,openssl:8,181,72,20,8
1999-08-10,1,openssl:1,54,13,5,1
1999-08-11,3,openssl:3,91,33,9,3
1999-08-12,2,openssl:2,33,33,2,2
1999-08-13,5,openssl:5,38,23,15,5
1999-08-14,1,openssl:1,5,4,2,1
1999-08-17,2,openssl:2,28,12,8,2
1999-08-18,2,openssl:2,14,3,4,2
1999-08-19,1,openssl:1,95,28,5,1
1999-08-22,1,openssl:1,439,200,7,1
1999-08-23,1,openssl:1,189,18,8,1
1999-08-24,3,openssl:3,150,89,10,3
1999-08-25,2,openssl:2,95,5,7,2
1999-08-27,1,openssl:1,46,7,4,1
1999-08-28,5,openssl:5,2103,2143,15,5
1999-09-01,1,openssl:1,4,0,1,1
1999-09-03,8,openssl:8,685,89,27,8
1999-09-04,1,openssl:1,159,0,4,1
1999-09-05,3,openssl:3,1041,1625,8,3
1999-09-06,2,openssl:2,26,26,8,2
1999-09-07,5,openssl:5,278,56,11,5
1999-09-08,5,openssl:5,207,38,20,5
1999-09-09,2,openssl:2,38,34,3,2
1999-09-10,7,openssl:7,103,120,18,7
1999-09-11,2,openssl:2,92,36,19,2
1999-09-13,1,openssl:1,3,0,1,1
1999-09-14,3,openssl:3,55,18,4,3
1999-09-15,1,openssl:1,1,1,1,1
1999-09-17,1,openssl:1,2,0,1,1
1999-09-18,2,openssl:2,223,93,9,2
1999-09-19,1,openssl:1,21,21,1,1
1999-09-20,2,openssl:2,86,11,4,2
1999-09-21,3,openssl:3,16,9,4,3
1999-09-24,4,openssl:4,19,11,6,4
1999-09-25,2,openssl:2,2,2,2,2
1999-09-26,1,openssl:1,98,0,1,1
1999-09-27,2,openssl:2,34,0,4,2
1999-09-29,3,openssl:3,913,17,10,3
1999-09-30,1,openssl:1,3,5,2,1
1999-10-02,2,openssl:2,27,15,4,2
1999-10-03,2,openssl:2,6,5,2,2
1999-10-04,4,openssl:4,133,47,15,4
1999-10-05,2,openssl:2,20,6,5,2
1999-10-06,1,openssl:1,5,5,2,1
1999-10-07,3,openssl:3,249,126,6,3
1999-10-09,1,openssl:1,81,0,3,1
1999-10-11,1,openssl:1,33,2,4,1
1999-10-13,1,openssl:1,480,2,7,1
1999-10-14,1,openssl:1,2,2,1,1
1999-10-20,1,openssl:1,595,388,87,1
1999-10-21,1,openssl:1,391,4,6,1
1999-10-23,2,openssl:2,25,25,15,2
1999-10-25,4,openssl:4,580,89,38,4
1999-10-26,7,openssl:7,489,216,24,7
1999-10-27,1,openssl:1,135,19,11,1
1999-10-29,1,openssl:1,34,11,2,1
1999-10-30,1,openssl:1,3,3,2,1
1999-11-03,1,openssl:1,1868,563,3,1
1999-11-04,1,openssl:1,779,36,19,1
1999-11-08,1,openssl:1,77,35,10,1
1999-11-09,3,openssl:3,5,5,5,3
1999-11-10,1,openssl:1,2488,0,16,1
1999-11-11,3,openssl:3,281,114,20,3
1999-11-12,18,openssl:18,1162,289,47,18
1999-11-13,2,openssl:2,233,7,9,2
1999-11-14,3,openssl:3,282,25,9,3
1999-11-15,1,openssl:1,14,1,2,1
1999-11-16,5,openssl:5,208,59,21,5
1999-11-17,3,openssl:3,67,22,5,3
1999-11-18,2,openssl:2,77,44,3,2
1999-11-19,1,openssl:1,84,6,6,1
1999-11-21,1,openssl:1,452,63,18,1
1999-11-23,1,openssl:1,393,23,14,1
1999-11-24,1,openssl:1,101,2,5,1
1999-11-26,1,openssl:1,288,110,17,1
1999-11-27,4,openssl:4,447,109,25,4
1999-11-29,2,openssl:2,467,146,29,2
1999-11-30,3,openssl:3,288,15,4,3
1999-12-01,1,openssl:1,217,35,8,1
1999-12-02,1,openssl:1,419,384,18,1
1999-12-03,5,openssl:5,415,142,33,5
1999-12-04,2,openssl:2,0,21,2,2
1999-12-05,1,openssl:1,1726,9,13,1
1999-12-07,1,openssl:1,84,31,4,1
1999-12-08,3,openssl:3,98,100,9,3
1999-12-09,1,openssl:1,284,10,5,1
1999-12-10,1,openssl:1,21,5,5,1
