date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
2010-06-16,1,pobox:1,886,0,6,1
2010-06-23,2,pobox:2,52694,185,249,2
2010-06-24,16,mozilla:2|pobox:14,825,440,49,16
2010-06-25,28,pobox:26|mozilla:2,696,313,55,28
2010-06-27,5,pobox:5,417,55,12,5
2010-06-28,10,pobox:5|mozilla:5,440,323,35,10
2010-06-29,11,mozilla:2|pobox:8|mimiga:1,1403,1334,27,11
2010-06-30,30,pobox:30,868,635,55,30
2010-07-01,42,mozilla:1|pobox:41,841,690,58,42
2010-07-02,34,pobox:28|mozilla:4|mimiga:2,254,188,38,34
2010-07-03,5,pobox:5,341,58,9,5
2010-07-04,17,pobox:17,85,40,19,17
2010-07-05,7,pobox:7,93,25,15,7
2010-07-06,5,pobox:5,221,110,7,5
2010-07-08,11,pobox:9|limpet:1|mozilla:1,145,47,24,11
2010-07-09,3,limpet:1|pobox:1|gmail:1,77,48,7,3
2010-07-10,6,pobox:2|double:1|mimiga:1|gmail:2,131,77,7,6
2010-07-11,4,pobox:2|gmail:2,463,22,8,4
2010-07-12,15,pobox:8|mozilla:4|gmail:2|mimiga:1,1263,1598,24,15
2010-07-13,16,mozilla:4|pobox:10|gmail:2,176,55,24,16
2010-07-14,5,pobox:4|mozilla:1,284,146,17,5
2010-07-15,14,mozilla:3|mimiga:2|pobox:9,143,96,23,14
2010-07-16,10,mozilla:5|mimiga:4|pobox:1,513,151,28,10
2010-07-17,4,gmail:2|mimiga:1|mozilla:1,106,30,6,4
2010-07-18,7,gmail:7,91,49,11,7
2010-07-19,14,gmail:4|mozilla:5|pobox:3|mimiga:2,1897,998,63,14
2010-07-20,15,mozilla:3|pobox:10|mimiga:1|gmail:1,330,86,29,15
2010-07-21,4,gmail:2|pobox:2,50,20,4,4
2010-07-22,13,gmail:2|pobox:8|mozilla:3,320,133,40,13
2010-07-23,12,pobox:10|gmail:2,328,196,36,12
2010-07-24,2,gmail:2,108,51,6,2
2010-07-25,6,mozilla:5|gmail:1,183,59,18,6
2010-07-26,8,pobox:6|mimiga:1|mozilla:1,539,305,29,8
2010-07-27,9,pobox:3|mozilla:6,469,429,48,9
2010-07-28,26,mozilla:26,1375,424,74,26
2010-07-29,4,pobox:4,74,5,3,4
2010-07-30,1,pobox:1,2,1,1,1
2010-08-02,1,mimiga:1,3,5,1,1
2010-08-03,12,pobox:5|mozilla:7,249,108,26,12
