date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
2003-04-10,9,kroah:9,874,154,17,9
2003-07-16,3,kroah:3,10,3,3,3
2003-07-17,2,kroah:2,1011,3,9,2
2003-07-18,7,kroah:7,2493,36,20,7
2003-07-19,1,kroah:1,99,150,4,1
2003-07-20,1,kroah:1,306,220,5,1
2003-07-23,7,kroah:7,176,87,10,7
2003-07-24,4,kroah:4,105,17,8,4
2003-07-25,1,kroah:1,40,25,1,1
2003-08-04,4,kroah:4,54,82,5,4
2003-08-05,5,linux-sh:2|kroah:2|us:1,5931,5,25,5
2003-08-06,1,kroah:1,17,8,4,1
2003-08-11,1,linux-sh:1,0,1,1,1
2003-09-24,1,suse:1,7,1,1,1
2003-10-08,1,kroah:1,3,1,1,1
2003-10-14,3,kroah:1|us:2,209,147,8,3
2003-10-15,4,kroah:4,88,55,8,4
2003-10-16,1,kroah:1,29,6,1,1
2003-10-17,19,kroah:17|tech9:1|mvista:1,493,107,27,19
2003-10-18,3,kroah:1|tech9:2,14,1,3,3
2003-10-19,3,tech9:2|vrfy:1,75,17,8,3
2003-10-20,7,kroah:6|vrfy:1,229,665,14,7
2003-10-21,13,kroah:9|us:1|tech9:1|vrfy:2,2911,740,42,13
2003-10-22,16,kroah:16,18481,1157,440,16
2003-10-23,8,kroah:7|tech9:1,84,21,15,8
2003-10-24,1,linux-sh:1,1,1,1,1
2003-10-25,2,kroah:2,58,15,2,2
2003-10-29,3,tech9:1|kroah:1|suse:1,82,15,6,3
2003-10-30,1,kroah:1,0,6,1,1
2003-11-12,17,kroah:13|vrfy:3|us:1,521,160,170,17
2003-11-13,5,kroah:5,5148,106,24,5
2003-11-18,12,vrfy:1|kroah:9|arndb:2,167,93,13,12
2003-11-19,15,kroah:12|sympatico:1|vrfy:2,250,34,23,15
2003-11-20,3,kroah:1|vrfy:2,92,93,5,3
2003-11-21,2,vrfy:2,30,10,3,2
2003-11-22,1,kroah:1,90,1,2,1
2003-11-23,13,kroah:9|suse:1|linux:1|vrfy:2,412,320,18,13
2003-11-24,18,kroah:9|vrfy:5|arndb:2|nosferatu:1|us:1,1540,625,75,18
2003-11-26,3,us:1|kroah:2,43,4,3,3
2003-12-01,1,us:1,8,3,1,1
2003-12-02,12,free:1|arndb:1|suse:1|kroah:6|us:1|wildopensource:1|vrfy:1,600,500,24,12
2003-12-03,16,kroah:15|vrfy:1,730,323,50,16
2003-12-04,5,kroah:2|vrfy:3,32,30,9,5
2003-12-07,6,free:3|us:2|vrfy:1,2624,236,30,6
2003-12-08,5,fubar:1|kroah:4,490,250,16,5
2003-12-10,11,vrfy:3|kroah:6|free:2,229,115,23,11
2003-12-11,2,suse:1|kroah:1,17,9,3,2
2003-12-15,7,us:1|sf-tec:2|kroah:1|vrfy:2|free:1,1272,716,16,7
2003-12-16,5,ximian:2|vrfy:1|kroah:1|suse:1,173,209,13,5
2003-12-17,15,kroah:8|vrfy:2|davehollis:1|itep:1|rochester:1|us:2,2084,259,53,15
2003-12-19,4,kroah:1|vrfy:2|us:1,272,203,15,4
2003-12-20,1,kroah:1,147,12,1,1
2003-12-22,17,kroah:6|vrfy:6|free:4|in:1,701,458,33,17
2003-12-23,1,kroah:1,53,2,3,1
2003-12-24,11,kroah:8|nadir:1|freenet:1|gmx:1,125,88,12,11
2003-12-25,8,kroah:8,79,9,11,8
2003-12-30,19,kroah:5|vrfy:9|nosferatu:2|freenet:1|free:2,344,66,28,19
2003-12-31,10,kroah:8|ximian:1|vrfy:1,568,34,22,10
2004-01-03,1,kroah:1,2,2,2,1
2004-01-04,2,kroah:2,29,34,3,2
2004-01-06,2,kroah:2,48,0,2,2
2004-01-10,10,saout:2|kroah:3|infa:1|vrfy:3|sf-tec:1,391,31,22,10
2004-01-12,11,vrfy:3|kroah:7|students:1,494,530,24,11
2004-01-13,14,vrfy:8|kroah:6,250,122,26,14
2004-01-14,5,kroah:3|vrfy:1|in:1,634,311,14,5
2004-01-15,5,kroah:3|sourmilk:1|vrfy:1,147,104,23,5
2004-01-16,2,us:2,148,76,10,2
2004-01-19,6,vrfy:4|us:1|kroah:1,337,81,17,6
2004-01-22,4,kroah:3|free:1,61,20,11,4
2004-01-23,11,kroah:6|vrfy:4|freenet:1,920,273,20,11
2004-01-26,18,kroah:16|vrfy:2,964,531,39,18
2004-01-27,5,kroah:2|vrfy:3,210,101,13,5
2004-01-28,4,kroah:3|vrfy:1,73,44,11,4
2004-01-29,1,kroah:1,1,7,2,1
2004-02-01,1,vrfy:1,339,249,5,1
2004-02-02,7,vrfy:2|kroah:5,89,107,18,7
2004-02-03,7,rrm3:1|students:1|kroah:5,74,21,13,7
2004-02-04,2,vrfy:1|kroah:1,3,2,3,2
2004-02-05,2,vrfy:2,28,18,6,2
2004-02-06,4,vrfy:3|free:1,202,330,12,4
2004-02-11,11,kroah:6|nosferatu:1|vrfy:4,1155,244,54,11
2004-02-12,17,kroah:13|vrfy:2|us:2,486,226,33,17
2004-02-13,4,kroah:2|free:2,457,1391,15,4
2004-02-16,12,kroah:8|vrfy:3|us:1,411,159,21,12
2004-02-17,13,vrfy:4|kroah:6|fjellstad:1|sncf:1|us:1,299,108,46,13
