date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
2015-11-06,3,gmail:2|google:1,397002,1074,2018,3
2015-11-07,3,google:3,2323,2114,91,3
2015-11-08,10,google:1|gmail:9,4431,4022,167,10
2015-11-09,3,google:3,2047,1620,160,3
2015-11-10,3,google:3,243,292,26,3
2015-11-11,6,google:3|gmail:3,3682,786,346,6
2015-11-12,7,google:3|gmail:4,1656,1513,121,7
2015-11-13,1,google:1,70,0,5,1
2015-11-16,3,google:3,4189,1355,385,3
2015-11-17,3,google:1|gmail:2,193,58,3,3
2015-11-18,6,google:2|gmail:4,11516,4894,141,6
2015-11-19,13,gmail:13,583,118,27,13
2015-11-20,5,gmail:5,18413,1076,1275,5
2015-11-21,1,gmail:1,63,5,4,1
2015-11-22,2,gmail:2,336,198,8,2
2015-11-23,2,hyperscience:1|apache:1,5,5,3,2
2015-11-24,13,users:1|gmail:12,572,54,25,13
2015-11-25,10,gmail:10,4964,2508,332,10
2015-11-27,3,gmail:3,37,3,4,3
2015-11-29,3,gmail:3,3,3,2,3
2015-11-30,2,gmail:2,61,7,4,2
2015-12-01,2,google:2,4662,3027,163,2
2015-12-02,3,gmail:1|google:2,2950,644,92,3
2015-12-03,8,google:6|gmail:2,1984,535,131,8
2015-12-04,23,users:3|cern:2|gmail:16|google:2,261,147,27,23
2015-12-05,10,users:1|gmail:9,40,13,10,10
2015-12-06,16,gmail:7|users:1|google:8,2927,1328,86,16
2015-12-07,13,gmail:11|google:2,907,350,83,13
2015-12-08,16,gmail:8|users:1|google:7,5467,1002,141,16
2015-12-09,10,gmail:4|users:1|google:5,840,229,61,10
2015-12-10,12,google:11|borgerding:1,712,238,57,12
2015-12-11,20,borgerding:1|gmail:7|google:11|users:1,1437,413,80,20
2015-12-12,1,gmail:1,0,0,0,1
2015-12-13,27,gmail:26|users:1,362,63,32,27
2015-12-14,20,google:5|gmail:9|tensorflow:6,311,394,82,20
2015-12-15,22,tensorflow:15|google:5|gmail:2,413,195,41,22
2015-12-16,16,google:10|tensorflow:4|gmail:2,269,905,41,16
2015-12-17,37,gmail:16|google:13|tensorflow:8,2900,336,111,37
2015-12-18,21,google:8|tensorflow:3|gmail:10,596,156,43,21
2015-12-19,2,gmail:2,19,39,5,2
