date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
2015-11-13,12,microsoft:7|diasfam:1|gmail:4,705060,272,1914,5
2015-11-14,3,joaomoreno:2|diasfam:1,18,7,3,2
2015-11-15,7,microsoft:1|diasfam:6,203,103,15,2
2015-11-16,25,microsoft:16|diasfam:5|gmail:4,929,290,33,9
2015-11-17,14,microsoft:5|gmail:5|diasfam:2|users:1|microosft:1,583,265,16,8
2015-11-18,25,gmail:9|users:4|microsoft:10|diasfam:1|imail:1,380,177,25,17
2015-11-19,49,enginetrouble:1|microsoft:28|gmail:10|users:4|bluephoenix:1|joaomoreno:5,1027,873,150,16
2015-11-20,56,microsoft:46|users:2|gmail:6|GITH:2,1827,1212,101,11
2015-11-21,15,gmail:7|wteam:1|joaomoreno:1|microsoft:5|inbox:1,103,326,14,6
2015-11-22,56,microsoft:14|gmail:40|borreli:1|GITH:1,306,612,89,8
2015-11-23,52,HuddledMasses:1|microsoft:25|gmail:15|joaomoreno:4|websud:3|users:4,1683,1366,103,14
2015-11-24,61,gmail:23|microsoft:31|MININT-OABU3P8:4|users:3,1735,749,153,14
2015-11-25,52,microsoft:31|users:8|gmail:11|joaomoreno:2,2973,1633,139,9
2015-11-26,62,microsoft:34|joaomoreno:12|gmail:15|users:1,3602,2813,134,7
2015-11-27,56,microsoft:41|nate:1|gmail:11|bison-group:1|micrsoft:1|users:1,2484,2471,186,10
2015-11-28,6,gmail:3|microsoft:3,72,12,6,2
2015-11-29,4,microsoft:4,7,13,5,1
2015-11-30,15,microsoft:11|joaomoreno:2|users:1|outlook:1,536,350,22,8
2015-12-01,71,gmail:36|microsoft:33|googlemail:1|vertigo:1,1572,915,128,11
2015-12-02,64,microsoft:37|gmail:26|diasfam:1,2059,1207,191,12
2015-12-03,53,microsoft:29|gmail:19|joaomoreno:5,107427,108547,203,12
2015-12-04,32,microsoft:20|gmail:12,104865,105569,88,10
2015-12-05,4,microsoft:4,196,117,13,1
2015-12-06,1,gmail:1,127,5,10,1
2015-12-07,96,microsoft:29|gmail:67,1616,1181,139,10
2015-12-08,67,gmail:29|microsoft:38,27736,24243,646,9
2015-12-09,40,microsoft:32|gmail:6|users:1|felixrieseberg:1,2497,1720,94,9
2015-12-10,48,microsoft:30|gmail:18,3184,21388,151,9
2015-12-11,50,microsoft:43|gmail:7,2120,789,112,9
2015-12-12,7,gmail:7,1105,843,37,1
2015-12-14,11,microsoft:11,76,48,12,3
2015-12-15,41,microsoft:38|gmail:3,1762,1645,89,10
2015-12-16,37,microsoft:27|gmail:2|diasfam:8,2800,2433,65,10
2015-12-17,20,microsoft:15|gmail:5,2794,2360,34,5
2015-12-18,36,gmail:11|microsoft:23|splitanatom:1|hellauer:1,725,1279,61,8
2015-12-19,7,gmail:6|diasfam:1,74,31,8,3
2015-12-20,4,gmail:4,86,10511,9,1
2015-12-21,43,microsoft:22|gmail:21,1573,3801,342,5
2015-12-22,31,kallio:1|gmail:9|microsoft:20|markrendle:1,1473,1313,134,7
2015-12-23,21,microsoft:15|gmail:6,713,657,71,4
2015-12-24,2,microsoft:1|gmail:1,1,1,1,2
2015-12-26,9,IvanixVIAO:3|gmail:6,187,26,10,2
2015-12-25,6,gmail:6,7,7,6,1
2015-12-27,3,microsoft:3,17,4,3,1
2015-12-28,20,microsoft:20,246,83,32,4
2015-12-29,4,microsoft:2|gmail:2,37,36,4,2
2015-12-30,10,gmail:1|microsoft:9,371,275,21,2
2015-12-31,11,gmail:11,224,160,11,1
2016-01-01,17,gmail:17,563,355,19,3
2016-01-03,23,gmail:23,890,507,24,1
2016-01-04,42,gmail:16|microsoft:26,2461,1389,95,6
2016-01-05,45,gmail:15|microsoft:30,1845,1823,105,9
2016-01-06,84,microsoft:72|gmail:12,6185,4108,341,9
2016-01-07,29,microsoft:21|gmail:8,1572,430,38,9
2016-01-08,42,gmail:7|microsoft:35,2900,3028,98,6
2016-01-09,5,microsoft:5,2419,936,23,2
2016-01-10,7,microsoft:3|gmail:4,1054,120,14,2
2016-01-11,53,microsoft:40|gmail:13,1851,2625,248,10
2016-01-12,31,microsoft:23|gmail:6|Wades-MacBook-Pro:2,885,279,55,8
2016-01-13,46,microsoft:31|gmail:13|Wades-MacBook-Pro:2,1507,1331,162,9
2016-01-14,40,microsoft:32|gmail:8,1630,1315,103,8
2016-01-15,32,microsoft:23|gmail:8|Wades-MacBook-Pro:1,1713,991,68,9
2016-01-16,1,gmail:1,1,1,1,1
2016-01-17,1,gmail:1,32,8,2,1
2016-01-18,73,microsoft:62|gmail:11,3346,2704,169,6
2016-01-19,43,microsoft:34|gmail:6|yahoo:3,15426,512,238,7
2016-01-20,50,yahoo:5|xzper:1|gmail:10|microsoft:32|brads-mbp:1|chrisbenti:1,4062,3376,123,15
2016-01-21,64,microsoft:48|gmail:8|yahoo:8,14860,1847,390,11
2016-01-22,40,microsoft:28|gmail:7|yahoo:2|Wades-MacBook-Pro:2|users:1,3434,897,101,11
2016-01-23,15,microsoft:14|unknown:1,269,160,43,5
2016-01-24,3,microsoft:3,5,4,5,2
2016-01-25,87,yahoo:3|microsoft:70|gmail:14,8560,1383,203,9
2016-01-26,16,microsoft:16,101,93,20,7
2016-01-27,52,gmail:8|microsoft:44,1198,1049,93,9
2016-01-28,60,microsoft:52|yahoo:3|gmail:2|Wades-MacBook-Pro:3,4295,1632,145,11
2016-01-29,17,microsoft:14|gmail:3,130,143,42,9
2016-01-30,4,microsoft:4,5,5,4,2
2016-01-31,2,yahoo:2,14,6,6,1
